# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 08:51:32
#
# Requested input R.A. = 200.2705832 degrees
# Requested input Dec. = 8.1685055 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 475 14 1 ZTF_r 444359295215 0 2.4552 256.064 6.04911 26.2138 5.5769e-06 0.0200825 0.0879465 9.88154e-06 413 30. 0.047064 0.051614 20.3735 26.2138 1 2458198.859294 475120252 -14.92508200225 27.594599 -0.601655 0.948450 -57.70974057689 49.090065 -1.183507 1.059093 0.79548658180564 20.0810002326965 0.12899999320507 5.07000017166138 0.418999999761581 2458165.915278 2458254.688565 0
 1 475 14 1 ZTF_g 448292555215 0 2.7264 125.751 7.34707 26.2548 1.54501e-05 0.0324068 -0.0362644 3.00795e-05 388 30. 0.062552 0.05488 20.071 26.2548 1 2458202.7925579 475120152 -96.23299899305 42.498283 -2.518880 0.949754 -69.57332763548 65.856483 -1.063554 1.111194 2.82073775059338 20.3380000114441 0.0949999988079071 3.45300006866455 0.33899998664856 2458202.792558 2458338.674849 0
 2 475 14 1 ZTF_g 448313035215 0 2.6072 127.907 7.00187 26.2735 1.51798e-05 0.0323226 -0.0362614 2.9046e-05 392 30. 0.057852 0.052025 20.1921 26.2735 1 2458202.8130324 475120152 31.33745683027 37.520699 0.929068 1.008688 -33.84925929116 59.233658 -0.575302 1.117378 2.82073775059338 20.3380000114441 0.0949999988079071 3.45300006866455 0.33899998664856 2458202.792558 2458338.674849 0
 3 527 3 4 ZTF_g 448335121115 0 2.1593 134.328 6.9801 26.2894 1.09886e-05 0.0291509 -0.026815 1.86134e-05 452 30. 0.05335 0.051085 20.4228 26.2894 1 2458202.8351273 527120111 -76.57486151608 34.387669 -2.477070 0.972256 -131.13973037084 59.346748 -2.224603 1.070322 0.480102989489358 20.3180000305176 0.108000002801418 4.27799987792969 0.36599999666214 2458166.954630 2458336.674537 0
 4 475 14 1 ZTF_g 451306955215 0 3.0307 128.369 11.8603 26.284 2.82172e-05 0.0402933 -0.0445006 6.23031e-05 323 30. 0.068842 0.059812 19.418 26.284 1 2458205.806956 475120152 19.04596857298 72.676094 0.291519 1.014665 -17.36936135195 108.556152 -0.161081 1.094798 2.82073775059338 20.3380000114441 0.0949999988079071 3.45300006866455 0.33899998664856 2458202.792558 2458338.674849 0
 5 475 14 1 ZTF_g 451319455215 0 2.7588 129.8 11.7809 26.2945 2.12977e-05 0.0353763 -0.0449274 4.6507e-05 339 30. 0.058938 0.055857 19.5228 26.2945 1 2458205.819456 475120152 68.97109187847 72.856636 1.053059 0.918388 64.48481208051 114.694626 0.566017 1.093173 2.82073775059338 20.3380000114441 0.0949999988079071 3.45300006866455 0.33899998664856 2458202.792558 2458338.674849 0
 6 527 3 4 ZTF_g 451343801115 0 2.4332 116.188 13.4592 26.1705 2.89746e-05 0.0412259 -0.032429 6.21672e-05 354 30. 0.061953 0.053709 19.3868 26.1705 1 2458205.8438079 527120111 111.30606853773 66.236420 1.869290 1.057808 167.0023197679 110.496765 1.521557 1.049015 0.480102989489358 20.3180000305176 0.108000002801418 4.27799987792969 0.36599999666214 2458166.954630 2458336.674537 0
 7 527 3 4 ZTF_g 451367291115 0 2.3783 111.163 13.577 26.1226 2.4497e-05 0.0384765 -0.0333353 5.27411e-05 357 30. 0.062871 0.051595 19.3527 26.1226 1 2458205.8672917 527120111 39.32203285679 69.979752 0.625055 0.954157 185.56001164539 118.320312 1.578848 1.050189 0.480102989489358 20.3180000305176 0.108000002801418 4.27799987792969 0.36599999666214 2458166.954630 2458336.674537 0
 8 475 14 1 ZTF_g 456309425215 0 2.5284 115.537 24.7598 26.1222 5.16884e-05 0.0382478 -0.0338366 0.000136159 194 30. 0.058835 0.055682 18.6365 26.1222 1 2458210.8094213 475120152 -53.26808798466 125.789551 -0.471061 1.068741 57.06166242056 199.503403 0.287945 1.115850 2.82073775059338 20.3380000114441 0.0949999988079071 3.45300006866455 0.33899998664856 2458202.792558 2458338.674849 0
