# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 08:57:28
#
# Requested input R.A. = 241.28330634545 degrees
# Requested input Dec. = 73.584420927273 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 864 4 2 ZTF_r 444365741315 0 2.164 185.703 6.42893 26.1435 7.2135e-06 0.0230832 0.0866893 1.16245e-05 490 30. 0.04435 0.049023 20.2566 26.1435 2 2458198.8657407 864120213 27.70335532278 28.466093 1.082578 1.106043 23.82827718222 52.187611 0.459664 1.035067 3.32244076759421 19.6170000076294 0.116999998688698 5.74700021743774 0.616999983787537 2458198.865741 2458293.810833 0
 1 864 4 2 ZTF_r 444390901315 0 1.9167 185.22 6.244 26.1516 6.8594e-06 0.0223451 0.087935 1.10724e-05 488 30. 0.041146 0.043308 20.3266 26.1516 2 2458198.8909028 864120213 19.68567292807 28.302204 0.773722 1.039010 25.95424367557 54.617569 0.478400 1.030846 3.32244076759421 19.6170000076294 0.116999998688698 5.74700021743774 0.616999983787537 2458198.865741 2458293.810833 0
 2 864 4 2 ZTF_r 444403431315 0 1.8315 193.77 6.19127 26.1537 6.7992e-06 0.0223149 0.0853802 1.09874e-05 488 30. 0.040956 0.045502 20.5212 26.1537 2 2458198.9034375 864120213 2.93883721052 24.777075 0.131941 1.110300 -14.43251219996 47.811722 -0.303894 1.032205 3.32244076759421 19.6170000076294 0.116999998688698 5.74700021743774 0.616999983787537 2458198.865741 2458293.810833 0
 3 864 4 2 ZTF_r 445338531315 48 2.5219 7.32957 7.82357 22.705 0.000630989 0.0695378 0.0477672 0.00144409 65 30. 0.060627 0.064884 16.4345 22.705 1 2458199.8385301 864120213 47.20337386542 40.322704 1.302202 0.950284 100.4353024594 66.391426 1.522964 1.070914 3.32244076759421 19.6170000076294 0.116999998688698 5.74700021743774 0.616999983787537 2458198.865741 2458293.810833 0
 4 864 4 2 ZTF_r 445339541315 0 2.2603 34.2826 7.46064 24.3345 0.000231474 0.105912 0.0598105 0.000405274 339 30. 0.046241 0.049888 18.2093 24.3345 2 2458199.8395486 864120213 53.38292151349 32.219566 1.843051 1.121414 3.15561872632 57.217033 0.055523 1.040880 3.32244076759421 19.6170000076294 0.116999998688698 5.74700021743774 0.616999983787537 2458198.865741 2458293.810833 0
 5 864 4 2 ZTF_g 448286501315 0 3.3515 177.878 8.22425 26.1759 3.14932e-05 0.0420676 -0.106255 6.70392e-05 384 30. 0.050585 0.054726 19.6227 26.1759 2 2458202.7865046 864120113 -68.83092267813 49.017345 -1.562027 0.938634 -109.75156290926 69.624954 -1.586942 1.080086 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 6 864 4 2 ZTF_g 448305421315 0 3.6684 179.826 7.95392 26.1673 3.10917e-05 0.041463 -0.0746868 6.72211e-05 364 30. 0.057631 0.053586 19.5655 26.1673 2 2458202.8054282 864120113 -10.84044459883 48.251167 -0.249916 1.122292 -27.80469974746 64.937935 -0.431057 1.098464 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 7 864 4 2 ZTF_g 448321821315 0 2.7648 182.544 7.64754 26.203 2.3268e-05 0.039514 -0.110593 4.29212e-05 440 30. 0.046238 0.047106 19.923 26.203 2 2458202.8218287 864120113 -40.34371675664 39.199905 -1.144842 1.020065 -103.07444865791 63.808254 -1.626258 1.052776 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 8 864 4 2 ZTF_g 448344961315 0 2.4256 183.237 7.11299 26.1969 1.67166e-05 0.0345685 -0.0937493 2.87105e-05 470 30. 0.043227 0.044314 20.0953 26.1969 2 2458202.8449653 864120113 64.25350857642 32.924053 2.170893 1.001537 117.57534925806 56.913906 2.079759 1.040879 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 9 864 4 2 ZTF_g 448368441315 0 2.2671 185.277 6.30873 26.2197 1.72895e-05 0.0351757 -0.116705 2.82443e-05 480 30. 0.040084 0.044209 20.3212 26.2197 2 2458202.8684491 864120113 -1.11822968197 29.988415 -0.041479 0.900726 -25.27030702824 54.718410 -0.464935 1.031976 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 10 864 4 2 ZTF_g 449370401315 0 3.0517 181.589 8.32219 26.2066 2.83949e-05 0.0423579 -0.124406 5.49388e-05 417 30. 0.048557 0.058265 19.714 26.2066 2 2458203.8704051 864120113 37.37990436158 45.366325 0.916557 0.956384 33.95428394408 72.088432 0.474181 1.040074 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 11 864 4 2 ZTF_g 449392221315 0 2.5247 182.9 7.74434 26.1961 1.90331e-05 0.0363446 -0.0971334 3.36039e-05 457 30. 0.04174 0.052196 19.9718 26.1961 2 2458203.8922222 864120113 -32.07236570424 35.381508 -1.008346 0.976237 -0.14830416293 60.201202 -0.002480 1.041857 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 12 864 4 2 ZTF_g 450306991315 8 4.8562 181.662 10.7202 26.1903 4.76142e-05 0.0393132 -0.0901773 0.000121528 240 30. 0.069313 0.082109 19.0069 26.1903 2 2458204.8069907 864120113 -21.40122772139 78.781708 -0.302182 0.955342 12.43194215432 95.228302 0.131428 1.135123 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
 13 864 4 2 ZTF_g 450323351315 0 4.5082 183.026 10.467 26.2267 5.12547e-05 0.0444335 -0.123872 0.000127559 275 30. 0.076883 0.086438 19.1269 26.2267 2 2458204.8233565 864120113 -15.89792396303 71.195938 -0.248393 1.062014 -32.03421670739 88.265442 -0.365375 1.110674 2.83221889718935 19.9069997787476 0.104999996721745 5.56899976730347 0.418999999761581 2458202.821829 2458314.892894 0
