# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 08:59:12
#
# Requested input R.A. = 308.216979167 degrees
# Requested input Dec. = -12.8500944444 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 388 3 4 ZTF_r 493474941115 0 2.3243 253.446 8.09798 26.1384 1.3203e-06 0.0185815 0.086185 4.01985e-06 2102 30. 0.048618 0.043963 20.0722 26.1384 1 2458247.9749421 388120211 36.27746778457 33.835880 1.192654 1.014517 14.07978285241 57.256222 0.247565 1.062761 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 1 388 3 4 ZTF_g 500438151115 0 1.9031 141.666 5.01874 26.142 1.2825e-06 0.0185647 -0.0403744 3.87188e-06 2100 30. 0.044533 0.045972 20.657 26.142 1 2458254.9381597 388120111 -24.57737503251 20.177166 -1.354971 0.999987 21.58628214777 38.259518 0.568007 1.043423 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 2 388 3 4 ZTF_r 500481481115 0 1.8123 255.307 7.1597 26.1386 1.2439e-06 0.0181036 0.0794587 3.77402e-06 2109 30. 0.044955 0.052806 20.3736 26.1386 1 2458254.9814815 388120211 9.31514691734 25.201797 0.411162 1.025801 52.39888350483 47.412163 1.112622 1.048331 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 3 388 3 4 ZTF_r 503418031115 0 3.1426 230.959 6.05357 26.0487 4.6172e-06 0.0347073 0.0840218 1.41151e-05 2101 30. 0.071298 0.088688 20.0003 26.0487 1 2458257.9180324 388120211 50.03048348846 32.320251 1.721927 1.029936 75.0376769286 46.953079 1.608905 1.084395 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 4 388 3 4 ZTF_r 503459561115 0 2.3996 242.465 5.79269 26.0885 1.4077e-06 0.0192713 0.0902449 4.28829e-06 2109 30. 0.057301 0.049405 20.3844 26.0885 1 2458257.9595602 388120211 1.04947016358 23.910448 0.048824 0.988625 28.22383981499 40.750988 0.697257 1.057410 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 5 388 3 4 ZTF_g 508440521115 0 2.7445 145.12 4.11163 26.1671 1.9833e-06 0.0232466 0.00255711 5.94762e-06 2099 30. 0.066987 0.049595 20.6711 26.1671 1 2458262.9405208 388120111 -21.57802545438 24.226870 -0.990762 1.019931 -12.94087347261 37.479492 -0.347604 1.098938 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 6 388 3 4 ZTF_r 513396601115 49 2.5438 60.709 31.9 24.7901 0.000310998 0.120499 0.126198 0.000860746 466 30. 0.065536 0.065554 17.0165 24.7901 1 2458267.8966088 388120211 38.08005096462 151.650024 0.279325 0.928684 138.59323856432 247.607483 0.563499 1.061006 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 7 388 3 4 ZTF_g 513459961115 0 2.6645 150.068 17.4981 26.2155 8.5584e-06 0.0420243 -0.00678456 2.69781e-05 1757 30. 0.055248 0.055513 19.1072 26.2155 1 2458267.9599653 388120111 31.67034542127 89.920204 0.391787 0.999163 98.47267586245 142.992142 0.693296 1.071983 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 8 388 3 4 ZTF_r 516397171115 0 2.8268 234.494 21.3966 26.0632 5.8866e-06 0.0373049 0.070216 1.67578e-05 1885 30. 0.05811 0.073225 18.6495 26.0632 1 2458270.8971759 388120211 154.27173468092 109.471848 1.567613 0.991322 140.47342837775 171.531235 0.824453 1.057178 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 9 388 3 4 ZTF_g 516459501115 0 2.5462 141.546 18.1553 26.1526 8.8922e-06 0.0406338 -0.0138801 2.78772e-05 1577 30. 0.05363 0.065055 19.0123 26.1526 1 2458270.9595023 388120111 -28.98493414654 102.378204 -0.314934 0.918216 -71.26862868537 158.917755 -0.451483 1.092027 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 10 388 3 4 ZTF_g 520439781115 0 2.2763 145.057 10.0541 26.2105 3.0847e-06 0.0282354 -0.0651218 9.40551e-06 2061 30. 0.041111 0.048578 19.7925 26.2105 1 2458274.9397801 388120111 14.99906363737 42.216549 0.395218 1.039699 104.73028947474 75.347389 1.399327 1.046597 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 11 388 3 4 ZTF_r 520460301115 0 2.1535 256.683 10.0881 26.1535 1.5541e-06 0.0197598 0.087407 4.7346e-06 2023 30. 0.043263 0.041271 19.8906 26.1535 1 2458274.9603009 388120211 42.34339910919 45.608341 1.032752 0.951527 39.81528873957 79.019211 0.507262 1.063205 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 12 388 3 4 ZTF_r 523396501115 0 1.9991 242.115 7.51705 26.0704 1.1564e-06 0.0173377 0.0804359 3.53273e-06 2104 30. 0.043503 0.050925 20.1521 26.0704 1 2458277.8965046 388120211 -29.26147979279 26.782419 -1.215350 1.108407 -44.64673467323 50.796070 -0.884860 1.038536 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 13 388 3 4 ZTF_g 523441861115 0 2.3318 138.38 6.40803 26.1428 1.7674e-06 0.0216065 -0.0688579 5.38454e-06 2102 30. 0.045906 0.05445 20.2774 26.1428 1 2458277.9418634 388120111 -0.11331337056 27.661608 -0.004557 0.985652 -24.82492867706 48.698471 -0.513201 1.043373 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 14 388 3 4 ZTF_r 526373731115 0 1.8165 251.413 6.53049 26.1227 9.744e-07 0.0160227 0.0790928 2.95484e-06 2105 30. 0.045598 0.050969 20.436 26.1227 1 2458280.8737384 388120211 -48.27043057911 21.212025 -2.531359 1.052661 -6.80367883162 41.740101 -0.164099 1.037300 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 15 388 3 4 ZTF_g 526419231115 0 1.8861 149.91 4.90455 26.2161 1.1578e-06 0.0176359 -0.0462017 3.48594e-06 2110 30. 0.043977 0.046203 20.7482 26.2161 1 2458280.9192361 388120111 -6.9470783454 20.497047 -0.377021 0.987288 -18.37155352997 38.167187 -0.484586 1.047765 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 16 388 3 4 ZTF_r 529378921115 0 2.2286 256.853 6.38029 26.1478 1.156e-06 0.0174444 0.0770621 3.50777e-06 2107 30. 0.05359 0.056186 20.3506 26.1478 1 2458283.8789236 388120211 -43.59688332251 27.850241 -1.741331 0.885927 -54.08067156548 50.066257 -1.087457 1.042418 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 17 388 3 4 ZTF_g 529419101115 0 2.1472 150.083 4.59061 26.2277 1.3679e-06 0.0191396 -0.0480278 4.11937e-06 2113 30. 0.046502 0.051133 20.8181 26.2277 1 2458283.9191088 388120111 38.6367597124 20.005569 2.148348 1.015669 50.14600179278 35.504383 1.421901 1.051000 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 18 388 3 4 ZTF_g 532435031115 0 3.0294 154.274 4.31606 26.2508 1.9534e-06 0.0227587 -0.0530387 5.92823e-06 2102 30. 0.058273 0.056473 20.5457 26.2508 1 2458286.9350347 388120111 -5.16650914271 25.664505 -0.223934 0.956179 60.71173099868 38.142578 1.602425 1.084641 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 19 388 3 4 ZTF_r 532461941115 0 2.3266 255.533 5.30997 26.1582 9.641e-07 0.015902 0.0837981 2.92668e-06 2102 30. 0.049573 0.049381 20.5569 26.1582 1 2458286.9619444 388120211 5.82852773114 28.206797 0.229858 0.872818 79.94826880975 46.657413 1.725058 1.078870 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 20 388 3 4 ZTF_g 536417831115 0 2.1535 150.345 4.62454 26.2228 1.2493e-06 0.0181581 -0.0473128 3.807e-06 2097 30. 0.046536 0.05473 20.8243 26.2228 1 2458290.9178356 388120111 -9.73423324679 17.107765 -0.632941 1.046367 13.77050187757 30.734447 0.451065 1.048375 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 21 388 3 4 ZTF_r 536461051115 0 2.2867 256.764 5.8243 26.1523 1.0809e-06 0.0167722 0.0826733 3.30499e-06 2101 30. 0.049594 0.047947 20.4486 26.1523 1 2458290.9610532 388120211 39.27877621833 26.036551 1.678144 0.929922 37.3954892285 44.524372 0.845545 1.057233 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 22 388 3 4 ZTF_r 539316161115 0 2.464 251.283 10.9451 26.1239 2.7566e-06 0.0266861 0.074368 8.42525e-06 2095 30. 0.057311 0.060898 19.5695 26.1239 1 2458293.816169 388120211 -39.35337634481 44.418995 -0.985526 1.025184 23.47149413656 77.820389 0.303642 1.041099 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 23 388 3 4 ZTF_g 539411271115 0 2.5483 152.921 8.1663 26.2397 2.3269e-06 0.024832 -0.0456824 7.05195e-06 2094 30. 0.046309 0.053296 20.0299 26.2397 1 2458293.9112731 388120111 24.44322084044 37.364952 0.727694 0.971136 95.1252559283 61.609146 1.554411 1.056132 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 24 388 3 4 ZTF_r 544334681115 0 2.4957 245.152 22.3163 26.1174 5.514e-06 0.0365231 0.0807257 1.62152e-05 1976 30. 0.053889 0.070181 18.7902 26.1174 1 2458298.8346875 388120211 50.0930715778 106.858101 0.521465 1.024614 155.64241339094 172.381271 0.908977 1.070224 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 25 388 3 4 ZTF_r 547402111115 0 1.9686 251.277 15.6335 26.123 2.2188e-06 0.0240867 0.0807587 6.75572e-06 2098 30. 0.046096 0.049969 19.3892 26.123 1 2458301.9021181 388120211 -6.20471611116 64.637375 -0.106781 1.008804 19.34224983451 117.976158 0.165055 1.052545 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 26 388 3 4 ZTF_g 547461461115 0 2.038 144.572 15.691 26.1627 4.4817e-06 0.0342274 -0.0265849 1.3531e-05 2058 30. 0.045974 0.051587 19.3663 26.1627 1 2458301.9614699 388120111 -62.12803694765 69.730919 -0.991099 0.894488 93.54879150688 126.603882 0.743886 1.052737 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 27 388 3 4 ZTF_r 550380721115 0 1.6302 248.994 8.42914 26.101 1.2846e-06 0.0182588 0.0791395 3.91991e-06 2103 30. 0.046653 0.047254 20.2195 26.101 1 2458304.8807292 388120211 -4.9228675964 24.713423 -0.221585 0.950465 90.65341304739 50.305843 1.814182 1.033813 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 28 388 3 4 ZTF_g 553442561115 0 2.0443 127.137 5.83334 26.0491 1.6068e-06 0.0207804 -0.0499108 4.85205e-06 2111 30. 0.043402 0.058405 20.4582 26.0491 1 2458307.9425694 388120111 17.93658835169 21.405312 0.932123 0.985160 20.72838513352 40.153725 0.519703 1.039175 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 29 388 3 4 ZTF_g 558356351115 0 1.6177 129.334 4.80027 26.0462 1.3843e-06 0.0192548 -0.0426058 4.18507e-06 2103 30. 0.049499 0.04544 20.6765 26.0462 1 2458312.8563542 388120111 -2.65507373414 17.448910 -0.169263 0.981890 -13.03387112805 34.123230 -0.384537 1.041110 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 30 388 3 4 ZTF_r 558399601115 0 1.852 221.982 6.32592 25.9999 1.694e-06 0.0211377 0.0770672 5.15243e-06 2109 30. 0.046952 0.058092 20.3664 25.9999 1 2458312.8996065 388120211 -12.93708266382 24.910259 -0.577714 0.914455 -16.67212825696 47.059341 -0.356665 1.050086 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 31 388 3 4 ZTF_r 561355651115 0 1.5471 215.327 6.15982 25.9627 1.3602e-06 0.0189157 0.078704 4.14487e-06 2111 30. 0.055688 0.052031 20.4099 25.9627 1 2458315.8556597 388120211 -13.55846061649 21.900038 -0.688685 0.933833 35.59192434178 44.915607 0.797755 1.030901 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 32 388 3 4 ZTF_r 564355861115 0 1.9529 254.984 6.44769 26.1396 9.106e-07 0.015403 0.0746058 2.77538e-06 2104 30. 0.042125 0.045151 20.4111 26.1396 1 2458318.8558681 388120211 -30.24599308108 23.122255 -1.455099 1.110072 15.9642498587 43.926403 0.365879 1.037418 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
 33 388 3 4 ZTF_g 564377341115 0 2.4971 150.911 4.89546 26.2446 1.6262e-06 0.0206017 -0.0859368 4.95383e-06 2099 30. 0.044708 0.050848 20.5728 26.2446 1 2458318.8773495 388120111 -7.64689322851 21.779184 -0.390569 1.009403 10.95735359312 38.101067 0.289523 1.037742 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 34 388 3 4 ZTF_g 567376951115 0 2.123 149.17 5.47024 26.2107 1.4278e-06 0.0193209 -0.0620986 4.35791e-06 2095 30. 0.041133 0.046881 20.6496 26.2107 1 2458321.876956 388120111 -19.85255322402 21.180384 -1.042647 0.923965 0.09161894116 39.719986 0.002322 1.038193 1.15672266876897 18.8440000534058 0.0759999975562096 6.14599990844727 0.428999990224838 2458262.940521 2458397.605324 0
 35 388 3 4 ZTF_r 575334521115 0 1.6355 232.551 20.3041 26.0577 3.369e-06 0.0298448 0.0780029 1.01248e-05 2097 30. 0.045539 0.05361 19.1615 26.0577 1 2458329.8345255 388120211 -18.77398070463 74.098854 -0.281838 0.941731 11.66910391376 148.879242 0.078908 1.038350 4.74073087542878 18.2949999809265 0.100000001490116 8.57499980926514 0.662000000476837 2458247.974942 2458429.609213 0
