# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 08:59:28
#
# Requested input R.A. = 45.0018115385 degrees
# Requested input Dec. = 30.9883746154 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 654 4 1 ZTF_g 452141791215 0 3.0751 104.117 16.8336 26.0972 3.72349e-05 0.0435316 -0.0929802 7.75224e-05 609 30. 0.069031 0.057603 18.7655 26.0972 1 2458206.641794 654120112 -70.58312937732 90.566109 -0.866942 0.995333 -93.46832445709 134.997803 -0.697032 1.043081 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
 1 654 4 1 ZTF_g 547474791215 0 2.3015 107.736 13.1056 26.0929 1.79625e-05 0.042048 -0.029033 3.25568e-05 961 30. 0.057517 0.047584 19.352 26.0929 1 2458301.9747917 654120112 -62.82683869157 54.740864 -1.276699 1.070456 -60.81563817785 95.832802 -0.638876 1.047302 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
 2 654 4 1 ZTF_g 550467321215 0 2.6281 111.606 8.94642 26.1481 1.1894e-05 0.0368023 -0.0626837 2.00746e-05 1057 30. 0.048651 0.052497 19.7269 26.1481 1 2458304.9673264 654120112 18.11561013646 40.155918 0.501832 1.036608 109.38911203674 67.576218 1.629654 1.040724 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
 3 654 4 1 ZTF_g 553468701215 0 2.2412 95.0554 8.11582 25.9715 1.05614e-05 0.0362044 -0.0400485 1.6962e-05 1105 30. 0.072829 0.047563 19.8096 25.9715 1 2458307.9687037 654120112 22.34254909706 33.419228 0.743689 1.003596 19.08816212982 59.764809 0.321539 1.043170 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
 4 654 4 1 ZTF_r 559428501215 0 1.9922 142.04 6.62645 25.8885 4.1648e-06 0.0247942 0.0972844 5.8582e-06 1216 30. 0.085963 0.053775 20.047 25.8885 1 2458313.9285069 654120212 33.15598953606 26.014229 1.417770 0.844092 79.04900639386 49.294228 1.614416 1.038862 2.95214490911241 20.6129998207092 0.0790000036358833 1.69700002670288 0.194000005722046 2458316.969063 2458431.784282 0
 5 654 4 1 ZTF_g 559471991215 0 2.0217 97.4543 4.94565 25.9867 6.3461e-06 0.030311 -0.0291504 9.17294e-06 1202 30. 0.066261 0.046131 20.5378 25.9867 1 2458313.9719907 654120112 0.01930358281 20.590469 0.001043 0.820272 -39.5520049709 37.004936 -1.076029 1.053252 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
 6 654 4 1 ZTF_g 562423731215 0 2.1578 56.969 4.55901 25.3759 3.78768e-05 0.0681554 -0.00349383 6.13031e-05 1100 30. 0.058115 0.044883 19.866 25.3759 1 2458316.9237384 654120112 -15.25328785852 21.610508 -0.785151 0.891223 20.00599248954 38.359798 0.525048 1.056796 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
 7 654 4 1 ZTF_r 562469061215 0 2.1091 161.882 5.79937 26.0376 3.0995e-06 0.0216194 0.0871859 4.32109e-06 1235 30. 0.042952 0.047988 20.3736 26.0376 1 2458316.9690625 654120212 19.64866053523 20.651682 1.058357 0.978396 16.16237447799 39.204536 0.415034 1.034234 2.95214490911241 20.6129998207092 0.0790000036358833 1.69700002670288 0.194000005722046 2458316.969063 2458431.784282 0
 8 654 4 1 ZTF_g 565433061215 0 2.6179 110.802 4.77427 26.1258 6.7505e-06 0.0314847 -0.0566697 9.59771e-06 1209 30. 0.066882 0.049232 20.5336 26.1258 1 2458319.9330671 654120112 49.72759802121 20.956461 2.639577 0.994216 65.58746266538 36.273552 1.820312 1.047230 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
 9 654 4 1 ZTF_r 565472801215 0 2.2264 182.155 6.00283 26.159 2.8116e-06 0.0204523 0.0880578 3.94513e-06 1218 30. 0.042941 0.042056 20.4759 26.159 1 2458319.9728009 654120212 -13.84431150121 20.869593 -0.737925 0.997487 19.94434568432 39.982780 0.502183 1.037086 2.95214490911241 20.6129998207092 0.0790000036358833 1.69700002670288 0.194000005722046 2458316.969063 2458431.784282 0
 10 654 4 1 ZTF_g 568467011215 0 2.0332 120.466 4.71067 26.2369 5.3236e-06 0.0280801 -0.0595865 7.51305e-06 1218 30. 0.045916 0.039764 20.8084 26.2369 1 2458322.9670139 654120112 -14.93674973388 18.444508 -0.900832 0.966663 -16.41230816026 34.286606 -0.481904 1.046784 3.36090377452598 20.9059998512268 0.090999998152256 2.1949999332428 0.279000014066696 2458168.622917 2458376.966435 0
