# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:00:04
#
# Requested input R.A. = 15.0028375 degrees
# Requested input Dec. = -3.10842222222 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 398 7 1 ZTF_r 535465252415 0 2.8062 161.175 7.22243 26.1689 2.12391e-05 0.0313905 0.126814 2.79922e-05 330 30. 0.073779 0.074761 19.9207 26.1689 1 2458289.9652546 398120224 27.52557231867 38.722786 0.790723 0.980319 18.69944416766 61.710518 0.305060 1.051086 2.77321906622854 18.2000001907349 0.119999997317791 9.2180004119873 0.954999983310699 2458289.965255 2458350.000127 0
 1 398 7 1 ZTF_r 544457882415 0 3.0632 156.202 13.2437 26.1342 4.05668e-05 0.0430511 0.127825 5.48551e-05 323 30. 0.079094 0.08034 19.1498 26.1342 1 2458298.9578819 398120224 -77.13027035324 79.453430 -1.079859 1.107250 -34.49577298424 115.334198 -0.301108 1.098929 2.77321906622854 18.2000001907349 0.119999997317791 9.2180004119873 0.954999983310699 2458289.965255 2458350.000127 0
 2 398 7 1 ZTF_g 544481302415 0 3.3028 78.4983 17.7737 26.1009 9.73619e-05 0.0426769 -0.0442458 0.000195971 133 30. 0.090257 0.076736 18.7301 26.1009 1 2458298.9813079 398120124 -74.77926692881 119.243301 -0.697593 0.914451 130.41114741894 164.802399 0.796648 1.129517 2.47906775953748 18.7390000343323 0.101999998092651 7.48899984359741 0.640999972820282 2458307.960949 2458349.919340 0
 3 398 7 1 ZTF_r 547441702415 0 2.6213 157.286 12.1596 26.1262 2.68632e-05 0.0358298 0.125177 3.6089e-05 331 30. 0.083934 0.080455 19.356 26.1262 1 2458301.9417014 398120224 -86.1036882086 56.912109 -1.682953 1.101234 -163.92288692527 94.408073 -1.748017 1.048285 2.77321906622854 18.2000001907349 0.119999997317791 9.2180004119873 0.954999983310699 2458289.965255 2458350.000127 0
 4 398 7 1 ZTF_g 553460942415 0 2.2118 71.331 6.83 26.0175 2.71888e-05 0.0352066 -0.0753681 3.8613e-05 310 30. 0.075273 0.075684 20.0787 26.0175 1 2458307.9609491 398120124 7.56427608757 30.649492 0.274536 0.935368 -52.42582803189 55.737614 -0.946917 1.050192 2.47906775953748 18.7390000343323 0.101999998092651 7.48899984359741 0.640999972820282 2458307.960949 2458349.919340 0
 5 398 7 1 ZTF_r 558442212415 0 2.0718 142.246 5.73558 26.0825 2.41498e-05 0.0337557 0.115037 3.19866e-05 331 30. 0.06154 0.061542 20.4735 26.0825 1 2458312.9422106 398120224 5.58823215117 23.956478 0.259481 0.988607 20.03984449434 47.035923 0.428924 1.036267 2.77321906622854 18.2000001907349 0.119999997317791 9.2180004119873 0.954999983310699 2458289.965255 2458350.000127 0
 6 398 7 1 ZTF_g 561442562415 0 2.0093 66.2932 4.6522 25.9226 2.07799e-05 0.0312948 -0.0714416 2.80162e-05 330 30. 0.07003 0.075348 20.5143 25.9226 1 2458315.9425694 398120124 -8.28907244801 18.636536 -0.494761 1.086965 -42.5477087337 35.341396 -1.212014 1.048654 2.47906775953748 18.7390000343323 0.101999998092651 7.48899984359741 0.640999972820282 2458307.960949 2458349.919340 0
 7 398 7 1 ZTF_r 561482312415 0 2.0853 129.729 6.35841 25.9343 6.31342e-05 0.0552182 0.102989 8.4216e-05 338 30. 0.069779 0.073299 20.1245 25.9343 1 2458315.9823148 398120224 -7.91737172623 27.526505 -0.319952 1.001012 1.78843578211 52.378418 0.034374 1.038948 2.77321906622854 18.2000001907349 0.119999997317791 9.2180004119873 0.954999983310699 2458289.965255 2458350.000127 0
 8 398 7 1 ZTF_g 564442142415 0 2.1135 83.8219 4.38501 26.1605 2.00471e-05 0.0313239 -0.0544591 2.70613e-05 333 30. 0.071027 0.070168 20.7547 26.1605 1 2458318.9421412 398120124 -9.32932367424 20.461580 -0.507184 0.970410 38.02032889738 36.976421 1.035157 1.057108 2.47906775953748 18.7390000343323 0.101999998092651 7.48899984359741 0.640999972820282 2458307.960949 2458349.919340 0
