# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:04:32
#
# Requested input R.A. = 206.962800435 degrees
# Requested input Dec. = 0.10042219089 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 425 14 3 ZTF_g 450340655415 0 3.4387 130.907 9.66543 26.2718 2.67375e-05 0.0441264 -0.0476577 6.13496e-05 416 30. 0.08245 0.06659 19.535 26.2718 1 2458204.8406597 425120154 -12.39364001633 61.529560 -0.224063 1.066980 -21.15438599322 84.750305 -0.251290 1.093479 2.33854434898496 19.9179999351501 0.0450000017881393 1.75 0.136000007390976 2458204.840660 2458338.674387 0
 1 425 14 3 ZTF_g 450367265415 0 3.1442 132.019 9.57981 26.2694 2.58914e-05 0.0449613 -0.040225 5.67243e-05 450 30. 0.079992 0.061522 19.635 26.2694 1 2458204.8672685 425120154 95.15996502783 59.201721 1.788030 0.940558 152.47585832152 85.526596 1.794796 1.085941 2.33854434898496 19.9179999351501 0.0450000017881393 1.75 0.136000007390976 2458204.840660 2458338.674387 0
 2 425 14 3 ZTF_g 453350545415 0 1.9957 129.129 19.5144 26.2618 2.45016e-05 0.0407519 -0.0297254 5.65548e-05 385 30. 0.057259 0.051352 19.2267 26.2618 1 2458207.850544 425120154 49.65389506679 91.182838 0.605752 0.968728 90.02249233469 165.493027 0.547629 1.066835 2.33854434898496 19.9179999351501 0.0450000017881393 1.75 0.136000007390976 2458204.840660 2458338.674387 0
 3 425 14 3 ZTF_g 453361135415 0 1.9223 131.619 19.5265 26.2575 2.35783e-05 0.0395505 -0.0214504 5.51731e-05 384 30. 0.057212 0.050615 19.25 26.2575 1 2458207.8611343 425120154 -75.2377029731 82.328087 -1.016582 1.104679 -10.83080788574 150.143234 -0.072622 1.071769 2.33854434898496 19.9179999351501 0.0450000017881393 1.75 0.136000007390976 2458204.840660 2458338.674387 0
 4 425 14 3 ZTF_g 457344225415 0 3.7441 131.517 16.6155 26.2601 4.75835e-05 0.0405273 -0.00652691 0.000123784 218 30. 0.080636 0.064917 18.8883 26.2601 1 2458211.8442245 425120154 -20.56028983077 122.867683 -0.186143 0.962691 194.57362941114 158.289429 1.237506 1.205010 2.33854434898496 19.9179999351501 0.0450000017881393 1.75 0.136000007390976 2458204.840660 2458338.674387 0
 5 425 14 3 ZTF_g 457391595415 0 3.7594 132.655 16.8529 26.2608 4.6266e-05 0.0401268 0.00285772 0.000120976 218 30. 0.084869 0.067641 18.8632 26.2608 1 2458211.8915972 425120154 1.14421980364 124.387466 0.010233 0.922795 18.62756328951 160.209625 0.117053 1.195492 2.33854434898496 19.9179999351501 0.0450000017881393 1.75 0.136000007390976 2458204.840660 2458338.674387 0
 6 425 14 3 ZTF_i 460366275415 33554480 2.8554 24.3312 12.8171 22.9693 0.000302002 0.0813305 0.196201 0.00108538 58 30. 0.140303 0.067168 16.0744 22.9693 2 2458214.8662731 425120354 27.63237624746 73.596481 0.417653 0.953792 68.76180727182 111.877419 0.618757 1.089388 2.16538571016717 19.5140000915527 0.0939999967813492 3.05100011825562 0.256999999284744 2458232.814769 2458637.773380 0
 7 425 14 3 ZTF_r 464324385415 0 2.0375 185.43 6.08494 26.1409 7.1071e-06 0.0256022 0.11138 1.2453e-05 544 30. 0.058123 0.053695 20.4765 26.1409 2 2458218.8243866 425120254 -16.91046893386 28.762884 -0.654000 0.890333 -46.43034992191 51.059639 -0.915460 1.073730 2.12768446600122 19.6480001449585 0.0549999997019768 2.48300004005432 0.178000003099442 2458186.994271 2458305.677245 0
 8 425 14 3 ZTF_r 465315395415 0 2.43 123.826 8.02604 25.7056 1.42355e-05 0.0362937 0.107578 2.50578e-05 541 30. 0.065088 0.05855 19.6197 25.7056 2 2458219.8153935 425120254 -27.7927542934 42.411915 -0.728951 0.999515 -99.95957848772 67.600876 -1.488632 1.107262 2.12768446600122 19.6480001449585 0.0549999997019768 2.48300004005432 0.178000003099442 2458186.994271 2458305.677245 0
