# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:02:34
#
# Requested input R.A. = 225.66733072 degrees
# Requested input Dec. = 9.30384778 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 531 4 2 ZTF_r 444437071315 0 1.7283 202.032 5.84604 26.1557 7.8958e-06 0.024737 0.106624 1.3123e-05 448 30. 0.051064 0.047447 20.5564 26.1557 1 2458198.9370718 531120213 -53.86121580508 24.011507 -2.495235 1.130436 -136.27041292862 44.712444 -3.068233 1.053126 0.22515362067515 17.7129997253418 0.0979999974370003 6.57499980926514 0.566999971866608 2458186.939896 2458226.876562 0
 1 531 4 2 ZTF_r 444479161315 0 1.5872 194.846 5.82532 26.1333 7.2511e-06 0.0236262 0.102036 1.20617e-05 447 30. 0.053285 0.048303 20.6547 26.1333 1 2458198.9791667 531120213 -54.20944352119 23.408260 -2.576088 1.034386 -151.74663865791 43.720119 -3.494241 1.051568 0.22515362067515 17.7129997253418 0.0979999974370003 6.57499980926514 0.566999971866608 2458186.939896 2458226.876562 0
 2 530 1 1 ZTF_g 448375890015 0 2.5428 82.6402 5.93624 26.1656 1.35265e-05 0.0328871 -0.026844 2.46966e-05 455 30. 0.052827 0.051114 20.2828 26.1656 1 2458202.8758912 530120100 -19.7238243159 29.855772 -0.734882 0.948728 -48.96233088445 48.102032 -1.024740 1.085636 0.531458783345991 18.3550002098083 0.0829999968409538 6.88600015640259 0.603999972343445 2458167.004965 2458306.715208 0
 3 531 4 2 ZTF_g 450421051315 0 2.8776 88.515 8.26583 26.2459 2.04821e-05 0.0369397 -0.0440355 4.25577e-05 383 30. 0.063674 0.061133 19.8498 26.2459 1 2458204.9210532 531120113 6.53748873503 43.517021 0.167112 0.951104 -38.39798833931 65.908676 -0.586518 1.073068 0.622161743944529 18.3690001487732 0.0759999975562096 6.39099979400635 0.601000010967255 2458204.921053 2458315.670208 0
 4 531 4 2 ZTF_g 450441281315 0 2.6667 89.4664 7.63363 26.2375 1.64773e-05 0.0335419 -0.041966 3.24074e-05 400 30. 0.06382 0.059756 20.0069 26.2375 1 2458204.9412847 531120113 0.65468928602 39.389565 0.018489 1.042176 50.31156571027 62.504093 0.810354 1.065430 0.622161743944529 18.3690001487732 0.0759999975562096 6.39099979400635 0.601000010967255 2458204.921053 2458315.670208 0
 5 530 1 1 ZTF_g 451390350015 0 3.3685 69.2579 11.3387 26.0058 4.47578e-05 0.0436718 -0.0395364 0.000113308 259 30. 0.074477 0.060244 19.1155 26.0058 1 2458205.8903588 530120100 67.98907772678 76.954048 0.982794 0.961533 23.5173790987 106.693756 0.221904 1.125473 0.531458783345991 18.3550002098083 0.0829999968409538 6.88600015640259 0.603999972343445 2458167.004965 2458306.715208 0
 6 530 1 1 ZTF_g 451402030015 0 3.2244 69.886 11.1943 26.005 4.05707e-05 0.0444301 -0.0210321 0.000101853 290 30. 0.079135 0.058883 19.1594 26.005 1 2458205.902037 530120100 46.86846169295 65.677040 0.793820 0.895603 47.99347617665 93.396812 0.517327 1.103928 0.531458783345991 18.3550002098083 0.0829999968409538 6.88600015640259 0.603999972343445 2458167.004965 2458306.715208 0
 7 531 4 2 ZTF_g 453386751315 0 1.8878 87.8634 15.5127 26.2321 2.24226e-05 0.0353337 -0.0256366 5.28873e-05 327 30. 0.048138 0.049485 19.4814 26.2321 1 2458207.8867593 531120113 20.92718196202 73.731064 0.315729 0.977338 126.83085290846 132.308960 0.965052 1.067970 0.622161743944529 18.3690001487732 0.0759999975562096 6.39099979400635 0.601000010967255 2458204.921053 2458315.670208 0
 8 531 4 2 ZTF_g 453406371315 0 1.7698 89.0667 15.3612 26.2435 2.70528e-05 0.040255 -0.0241453 5.93307e-05 349 30. 0.04617 0.049644 19.5646 26.2435 1 2458207.9063773 531120113 6.54079065184 61.687027 0.117948 1.104973 89.77862876983 113.446693 0.796703 1.065548 0.622161743944529 18.3690001487732 0.0759999975562096 6.39099979400635 0.601000010967255 2458204.921053 2458315.670208 0
