# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:04:57
#
# Requested input R.A. = 349.1917384 degrees
# Requested input Dec. = -23.31030745 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 292 9 3 ZTF_g 542480093415 0 2.6044 145.603 16.9495 26.1513 3.49269e-05 0.0391437 -0.0378957 7.53432e-05 290 30. 0.071746 0.072391 19.0421 26.1513 1 2458296.9800926 292120134 -128.82854905583 82.757065 -1.731657 1.046831 -359.23364771417 135.547546 -2.668090 1.065791 2.83397644893453 20.0550000190735 0.0549999997019768 1.57799994945526 0.0700000002980232 2458307.958970 2458423.713079 0
 1 292 9 3 ZTF_g 550459213415 0 2.5697 145.969 10.0566 26.152 2.43542e-05 0.0407001 -0.076541 4.60078e-05 411 30. 0.06184 0.066014 19.615 26.152 1 2458304.959213 292120134 -12.39665336377 53.694508 -0.256820 0.869979 -53.51792569132 90.067093 -0.598203 1.048950 2.83397644893453 20.0550000190735 0.0549999997019768 1.57799994945526 0.0700000002980232 2458307.958970 2458423.713079 0
 2 292 9 3 ZTF_g 553458963415 0 2.6327 122.393 6.31126 25.9108 2.78958e-05 0.0449329 -0.0488455 4.90704e-05 438 30. 0.0618 0.082758 19.9873 25.9108 1 2458307.9589699 292120134 2.1573302266 28.648163 0.083767 1.064147 -52.73218271547 47.099110 -1.127141 1.060071 2.83397644893453 20.0550000190735 0.0549999997019768 1.57799994945526 0.0700000002980232 2458307.958970 2458423.713079 0
 3 292 9 3 ZTF_r 560439323415 0 1.8977 284.381 6.22121 26.0362 8.6468e-06 0.0257618 0.126876 1.35122e-05 479 30. 0.059195 0.058766 20.3595 26.0362 1 2458314.9393287 292120234 20.29136475321 24.095072 0.936781 0.904006 19.17640083705 46.504826 0.415130 1.034366 null null null null null 2458310.938194 2458432.626227 57
 4 292 9 3 ZTF_g 560460823415 0 2.7458 120.914 4.65898 25.9685 1.85696e-05 0.037111 -0.11303 3.04079e-05 460 30. 0.063008 0.071782 20.2712 25.9685 1 2458314.9608218 292120134 14.50304165738 23.141779 0.697135 0.950420 56.24612610457 37.571266 1.507134 1.046936 2.83397644893453 20.0550000190735 0.0549999997019768 1.57799994945526 0.0700000002980232 2458307.958970 2458423.713079 0
 5 292 9 3 ZTF_g 569417663415 0 13.9282 140.001 7.96 26.089 2.29195e-05 0.0393145 -0.00399692 4.29992e-05 405 30. 0.074698 0.078979 19.9235 26.089 1 2458323.917662 292120134 -19.9894519715 44.484364 -0.499860 0.969320 -21.09362025397 66.118210 -0.321178 1.136014 2.83397644893453 20.0550000190735 0.0549999997019768 1.57799994945526 0.0700000002980232 2458307.958970 2458423.713079 0
 6 292 9 3 ZTF_r 572397303415 33 2.1262 106.928 45.3263 25.1303 0.00059763 0.0984221 0.133652 0.00124432 130 30. 0.070639 0.066594 17.1049 25.1303 1 2458326.8973032 292120234 -91.41984169545 182.818558 -0.556256 1.001094 -145.57015959973 340.754150 -0.430077 1.045516 null null null null null 2458310.938194 2458432.626227 57
 7 292 9 3 ZTF_g 572438203415 0 2.556 93.74 25.1382 25.633 0.000115107 0.0408403 -0.0332017 0.000324523 142 30. 0.068134 0.066358 18.1298 25.633 1 2458326.938206 292120134 -150.92093997305 112.998756 -1.485698 1.131407 -508.00440311702 184.236084 -2.775927 1.073427 2.83397644893453 20.0550000190735 0.0549999997019768 1.57799994945526 0.0700000002980232 2458307.958970 2458423.713079 0
 8 292 9 3 ZTF_r 577416633415 0 2.4166 310.133 19.1836 26.1468 1.85394e-05 0.037008 0.105914 2.89574e-05 465 30. 0.063823 0.065596 18.9886 26.1468 1 2458331.9166319 292120234 48.54880383137 81.346313 0.663889 1.033450 -17.32567259822 149.279938 -0.116843 1.032396 null null null null null 2458310.938194 2458432.626227 57
