# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:09:20
#
# Requested input R.A. = 206.341542 degrees
# Requested input Dec. = 26.750181 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 627 9 3 ZTF_g 448373483415 0 2.884 82.7872 5.6122 26.3059 2.6561e-05 0.0377235 -0.026595 4.4172e-05 308 30. 0.065255 0.069864 20.4228 26.3059 1 2458202.8734838 627120134 -29.57510974948 33.781826 -0.973863 1.038480 -62.83221541414 49.916451 -1.267225 1.147644 0.150172213914644 22.7699999332428 0.179000005125999 0.623000025749207 -0.179000005125999 2458166.916574 2458277.718345 0
 1 627 9 3 ZTF_g 451304143415 0 2.6901 81.1206 12.0023 26.3119 3.79509e-05 0.0415195 -0.0570102 7.463e-05 251 30. 0.073836 0.062707 19.5436 26.3119 1 2458205.8041435 627120134 -10.30196696265 66.821068 -0.171499 0.907732 -91.57678309698 104.887901 -0.878972 1.084723 0.150172213914644 22.7699999332428 0.179000005125999 0.623000025749207 -0.179000005125999 2458166.916574 2458277.718345 0
 2 627 9 3 ZTF_g 451346133415 0 2.4943 56.045 14.7262 25.8834 4.52544e-05 0.038922 -0.041033 9.39042e-05 188 30. 0.065914 0.06339 18.957 25.8834 1 2458205.8461343 627120134 111.53943216003 74.057961 1.675373 1.045569 154.96170996766 119.361588 1.306998 1.083591 0.150172213914644 22.7699999332428 0.179000005125999 0.623000025749207 -0.179000005125999 2458166.916574 2458277.718345 0
 3 627 9 3 ZTF_g 454339463415 0 2.2294 74.0143 26.341 26.216 8.73469e-05 0.0467888 -0.0529192 0.000195998 144 30. 0.06097 0.066468 18.7615 26.216 1 2458208.8394676 627120134 -74.55885926215 135.921448 -0.610191 0.949498 -100.54653033327 224.147430 -0.451594 1.094242 0.150172213914644 22.7699999332428 0.179000005125999 0.623000025749207 -0.179000005125999 2458166.916574 2458277.718345 0
 4 627 9 3 ZTF_g 454389813415 33554433 2.5078 61.3203 33.8075 25.9425 0.000243914 0.0488245 -0.0478084 0.000656342 75 30. 0.071006 0.065888 18.1716 25.9425 1 2458208.8898148 627120134 224.96927237426 188.039703 1.330848 0.959302 234.78445121278 290.131042 0.814686 1.142709 0.150172213914644 22.7699999332428 0.179000005125999 0.623000025749207 -0.179000005125999 2458166.916574 2458277.718345 0
 5 627 9 3 ZTF_g 457346783415 0 3.6478 83.0577 13.1479 26.3169 6.22405e-05 0.0438275 -0.016588 0.000132185 175 30. 0.077256 0.091259 19.2374 26.3169 1 2458211.8467824 627120134 -97.69464150781 103.637291 -1.048599 0.898591 -125.27039468438 135.521515 -0.930584 1.208167 0.150172213914644 22.7699999332428 0.179000005125999 0.623000025749207 -0.179000005125999 2458166.916574 2458277.718345 0
 6 627 9 3 ZTF_g 460283103415 0 9.7348 48.2432 5.01807 25.7336 3.58497e-05 0.0406747 -0.0238414 7.12951e-05 253 30. 0.086945 0.0907 19.8135 25.7336 1 2458214.7831019 627120134 20.95399194433 33.225231 0.701542 1.073198 1.37766633795 45.607246 0.030411 1.184943 0.150172213914644 22.7699999332428 0.179000005125999 0.623000025749207 -0.179000005125999 2458166.916574 2458277.718345 0
 7 627 9 3 ZTF_r 460328573415 0 3.267 272.081 15.8627 25.653 4.84516e-05 0.0471016 0.11329 7.5699e-05 279 30. 0.081962 0.080504 19.0705 26.275 1 2458214.8285764 627120234 -77.80455269041 108.930649 -0.794529 0.945505 -186.56446161704 152.339050 -1.232914 1.129846 4.36155387573859 22.6130000591278 0.26800000667572 0.916000008583069 -0.384999990463257 2458155.966875 2458186.935347 0
 8 627 9 3 ZTF_i 460386093415 48 2.9455 29.2906 14.0621 23.4538 0.000257882 0.0641651 0.160454 0.0011332 50 30. 0.104849 0.144585 16.4393 23.4538 2 2458214.8860995 627120334 155.8901719472 83.657654 2.072850 1.055470 229.87986190396 124.303879 1.861793 1.103015 null null null null null 2458173.954201 2458320.713831 57
