# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:07:41
#
# Requested input R.A. = 358.267023 degrees
# Requested input Dec. = -13.049341 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 395 2 3 ZTF_r 520481820615 0 2.0368 143.993 15.3024 26.0592 2.98297e-05 0.0430425 0.115337 4.231e-05 385 30. 0.059454 0.059276 19.249 26.0592 1 2458274.9818287 395120206 97.70884613278 63.854523 1.702147 0.996683 77.505098701 120.907257 0.645347 1.039745 null null null null null 2458315.964190 2458370.805880 57
 1 395 2 3 ZTF_r 526481520615 0 2.3024 152.034 13.1092 26.0901 1.43451e-05 0.0298011 0.113237 2.04469e-05 388 30. 0.065166 0.063623 19.3578 26.0901 1 2458280.9815278 395120206 -35.84375701116 61.770985 -0.645482 1.003883 87.04659417998 111.565117 0.785486 1.042374 null null null null null 2458315.964190 2458370.805880 57
 2 395 2 3 ZTF_g 529442890615 0 3.4483 91.7358 4.81084 25.9618 2.71637e-05 0.0399715 -0.045893 4.42434e-05 345 30. 0.112042 0.118389 19.9479 25.9618 1 2458283.9428935 395120106 -30.62623401786 32.693672 -1.042041 0.980648 -19.6290273713 45.468258 -0.434616 1.089041 null null null null null 2458305.959410 2458367.796493 57
 3 395 2 3 ZTF_r 529480090615 0 2.5438 152.154 9.89819 26.1027 1.43938e-05 0.0300423 0.105934 2.05988e-05 392 30. 0.070257 0.062241 19.5796 26.1027 1 2458283.9800926 395120206 110.13198674863 49.176476 2.491213 1.016212 158.96635544993 81.434273 1.965229 1.051314 null null null null null 2458315.964190 2458370.805880 57
 4 395 2 3 ZTF_g 532442870615 0 4.1631 99.2371 4.26187 26.0606 2.27259e-05 0.0360743 -0.0691208 3.87283e-05 329 30. 0.079902 0.079198 20.0054 26.0606 1 2458286.9428704 395120106 3.7650931231 31.279053 0.133899 1.000470 -21.95293174166 39.215984 -0.563566 1.151675 null null null null null 2458305.959410 2458367.796493 57
 5 395 2 3 ZTF_r 536480090615 0 1.8674 156.724 10.9137 26.1319 1.06053e-05 0.0257343 0.113761 1.50058e-05 392 30. 0.057387 0.057205 19.7711 26.1319 1 2458290.9800926 395120206 -69.18885927024 46.955421 -1.639099 0.923785 65.55777064286 91.606354 0.720466 1.039893 null null null null null 2458315.964190 2458370.805880 57
 6 395 2 3 ZTF_g 541446190615 0 2.9498 105.221 11.5509 26.1156 3.6803e-05 0.0420518 -0.044142 6.93145e-05 269 30. 0.075546 0.080701 19.3039 26.1156 1 2458295.9461921 395120106 104.1457284382 64.822739 1.787182 1.006584 18.87086662753 98.632431 0.192614 1.073009 null null null null null 2458305.959410 2458367.796493 57
 7 395 2 3 ZTF_r 546417960615 0 1.9688 142.617 14.3902 26.0229 1.60104e-05 0.0317417 0.111113 2.26848e-05 393 30. 0.0621 0.070878 19.3195 26.0229 1 2458300.917963 395120206 30.60963993063 60.766384 0.560337 0.961692 -224.1381069539 116.899155 -1.930277 1.040678 null null null null null 2458315.964190 2458370.805880 57
 8 395 2 3 ZTF_g 546480250615 0 2.4037 109.199 15.4817 26.1623 3.0205e-05 0.0389694 -0.0319039 5.5532e-05 278 30. 0.056991 0.070832 19.2089 26.1623 1 2458300.9802546 395120106 22.55423675472 76.095329 0.329705 1.019679 -45.87953270754 128.824966 -0.358537 1.057975 null null null null null 2458305.959410 2458367.796493 57
