# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:11:50
#
# Requested input R.A. = 85.372305 degrees
# Requested input Dec. = 16.7621357 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 562 4 2 ZTF_g 450131711315 0 2.9602 114.177 12.8088 26.2792 1.26161e-05 0.0354063 -0.132912 2.60108e-05 2009 30. 0.05023 0.050719 19.4034 26.2792 1 2458204.631713 562120113 -64.03432890278 62.253296 -1.144209 0.948530 -101.37877710339 100.522972 -1.015306 1.039313 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 1 562 4 2 ZTF_g 450148621315 0 2.7967 112.728 12.5564 26.2524 1.02304e-05 0.0318994 -0.114272 2.10769e-05 2010 30. 0.050349 0.050846 19.4367 26.2524 1 2458204.6486227 562120113 -33.93504412982 60.240540 -0.626635 1.003350 -62.11560979422 99.083626 -0.631123 1.039366 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 2 562 4 2 ZTF_g 451129211315 0 4.078 116.455 13.6404 26.3114 2.22683e-05 0.0443719 -0.124838 4.69988e-05 1776 30. 0.070648 0.07028 19.0305 26.3114 1 2458205.629213 562120113 66.48736811912 80.358353 0.920371 0.980254 2.64617386676 107.564781 0.024766 1.068912 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 3 562 4 2 ZTF_g 451150651315 0 4.4618 114.336 13.0815 26.2901 3.3841e-05 0.0520374 -0.119493 7.17182e-05 1601 30. 0.091073 0.072596 19.017 26.2901 1 2458205.6506597 562120113 -40.80114056071 87.268219 -0.520081 0.995299 5.49448929845 109.316803 0.050601 1.108728 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 4 562 4 2 ZTF_g 452129621315 0 2.1222 114.29 14.2122 26.2408 7.354e-06 0.0272358 -0.0775338 1.51641e-05 2018 30. 0.03612 0.039761 19.489 26.2408 1 2458206.6296296 562120113 -6.69141757019 59.418190 -0.125272 0.893138 79.85874575269 112.358620 0.715536 1.026802 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 5 562 4 2 ZTF_g 452148331315 0 2.252 110.111 13.3007 26.2285 8.5477e-06 0.0291962 -0.0772299 1.76465e-05 2025 30. 0.041591 0.040507 19.4966 26.2285 1 2458206.6483333 562120113 86.13678109224 52.453503 1.826707 1.131052 173.7990732422 95.270439 1.836557 1.030493 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 6 562 4 2 ZTF_g 452177691315 1 2.5601 1057.52 47.1412 28.7033 3.0795e-06 0.0172986 -0.0770018 6.33687e-06 1984 300. 0.038385 0.040957 20.5028 28.7033 3 2458206.6776968 562120113 115.60875471053 198.313995 0.648473 1.150462 241.20501435064 339.126923 0.716043 1.036700 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 7 562 4 2 ZTF_g 453150501315 0 2.4647 109.712 14.434 26.2169 1.14322e-05 0.0338448 -0.10904 2.36443e-05 2040 30. 0.047952 0.046493 19.3372 26.2169 1 2458207.6505093 562120113 31.69475874956 64.921959 0.543064 0.915981 -96.58600668789 113.249168 -0.858607 1.039144 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
 8 562 4 2 ZTF_g 453155551315 1 2.7427 1106.57 46.7796 28.7526 3.815e-06 0.0194314 -0.0944384 7.8712e-06 2003 300. 0.039782 0.04343 20.5215 28.7526 3 2458207.6555556 562120113 98.73160699869 222.164810 0.494351 0.958317 -63.54827173363 367.933960 -0.173880 1.043094 0.257528376892746 19.6270000457764 0.0489999987185001 2.61700010299683 0.171000003814697 2458167.621713 2458378.986088 0
