# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:21:20
#
# Requested input R.A. = 352.713417 degrees
# Requested input Dec. = -2.94275 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 446 8 1 ZTF_g 516465092815 0 2.8482 86.927 14.5935 25.9959 3.63196e-05 0.035905 -0.030941 7.7163e-05 244 30. 0.081228 0.088814 18.9704 25.9959 1 2458270.9650926 446120128 39.26487994007 85.295654 0.512073 0.919608 122.84642029138 128.669830 0.961172 1.088647 2.08769152206365 22.5900001049042 0.243000000715256 1.20700001716614 -0.321000009775162 2458282.920336 2458423.716308 0
 1 446 8 1 ZTF_g 528420332815 0 2.7075 72.1605 4.69935 25.8072 2.29581e-05 0.0374956 -0.0604602 3.70967e-05 413 30. 0.083671 0.07265 20.06 25.8072 1 2458282.9203356 446120128 16.01017654899 22.946224 0.776139 1.037997 6.22845698386 36.792068 0.170428 1.054399 2.08769152206365 22.5900001049042 0.243000000715256 1.20700001716614 -0.321000009775162 2458282.920336 2458423.716308 0
 2 446 8 1 ZTF_r 528478552815 0 2.0763 134.759 9.32076 25.6078 1.9125e-05 0.0354826 0.14848 2.79103e-05 452 30. 0.06568 0.05463 19.3532 25.6078 1 2458282.9785532 446120228 -53.62451520614 40.210205 -1.483481 0.984350 -191.41541119255 73.368599 -2.626527 1.053599 1.17252621444214 21.9009999275208 0.148000001907349 1.55299997329712 0.287999987602234 2458282.978553 2458432.756343 0
 3 446 8 1 ZTF_g 531442982815 0 2.8601 100.147 4.12022 26.1951 1.61109e-05 0.0323463 -0.109715 2.38304e-05 443 30. 0.075108 0.072198 20.5236 26.1951 1 2458285.9429861 446120128 -17.75462693502 21.233412 -0.930136 0.954357 -32.44611256509 34.418339 -0.949047 1.046007 2.08769152206365 22.5900001049042 0.243000000715256 1.20700001716614 -0.321000009775162 2458282.920336 2458423.716308 0
 4 446 8 1 ZTF_g 534422982815 0 3.8764 97.0259 4.73835 26.1174 2.57217e-05 0.0386616 -0.044659 4.52874e-05 379 30. 0.077556 0.073928 20.0233 26.1174 1 2458288.9229861 446120128 30.35411579886 33.687386 1.002317 1.075857 106.26398097425 43.458942 2.461626 1.145383 2.08769152206365 22.5900001049042 0.243000000715256 1.20700001716614 -0.321000009775162 2458282.920336 2458423.716308 0
 5 446 8 1 ZTF_r 534462172815 0 3.0336 233.175 5.85018 26.2167 1.23613e-05 0.0285853 0.123389 1.82847e-05 447 30. 0.074646 0.060293 20.1418 26.2167 1 2458288.9621759 446120228 -20.84285408117 36.705685 -0.631653 0.927238 -4.76997792424 53.730587 -0.089374 1.099906 1.17252621444214 21.9009999275208 0.148000001907349 1.55299997329712 0.287999987602234 2458282.978553 2458432.756343 0
 6 446 8 1 ZTF_g 537443722815 0 2.5821 103.313 4.04401 26.2139 1.43309e-05 0.0303255 -0.0961887 2.10353e-05 441 30. 0.057943 0.062699 20.6703 26.2139 1 2458291.9437269 446120128 20.7692185495 20.842815 1.108456 0.993292 -53.07202287246 34.776081 -1.536385 1.052941 2.08769152206365 22.5900001049042 0.243000000715256 1.20700001716614 -0.321000009775162 2458282.920336 2458423.716308 0
 7 446 8 1 ZTF_g 541446652815 0 2.3806 103.492 10.6201 26.1942 2.11531e-05 0.0347593 -0.0572637 3.62204e-05 374 30. 0.064436 0.069756 19.6656 26.1942 1 2458295.9466551 446120128 -0.76803681744 52.036343 -0.016418 0.955885 34.1082688469 89.451500 0.383873 1.065009 2.08769152206365 22.5900001049042 0.243000000715256 1.20700001716614 -0.321000009775162 2458282.920336 2458423.716308 0
 8 446 8 1 ZTF_r 544441752815 0 2.8358 227.953 12.8973 26.1848 2.62246e-05 0.0410283 0.135155 3.8084e-05 447 30. 0.069394 0.062776 19.3402 26.1848 1 2458298.9417593 446120228 4.15267235199 73.244057 0.063068 0.982266 -46.24272856256 110.038628 -0.423071 1.104429 1.17252621444214 21.9009999275208 0.148000001907349 1.55299997329712 0.287999987602234 2458282.978553 2458432.756343 0
