# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:11:48
#
# Requested input R.A. = 145.6332576 degrees
# Requested input Dec. = 7.09996312 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 467 14 4 ZTF_g 448255595515 0 2.8077 183.204 8.42412 26.2887 1.69597e-05 0.0346234 -0.0377992 2.86281e-05 469 30. 0.048223 0.050979 19.9189 26.2887 1 2458202.7555903 467120155 -14.64974816756 53.934700 -0.302146 0.947760 154.95103983164 82.971626 1.880096 1.091661 2.197512566769 19.5649997711182 0.112999998033047 4.60599994659424 0.488000005483627 2458202.755590 2458464.966713 0
 1 467 14 4 ZTF_g 453260155515 0 2.5693 184.678 18.7581 26.3217 2.58149e-05 0.0363501 -0.0747896 5.27712e-05 353 30. 0.048266 0.048212 19.0873 26.3217 1 2458207.7601505 467120155 -5.2053149807 96.280014 -0.060140 0.908277 -66.10873983366 161.463196 -0.412193 1.051728 2.197512566769 19.5649997711182 0.112999998033047 4.60599994659424 0.488000005483627 2458202.755590 2458464.966713 0
 2 467 14 4 ZTF_g 453287145515 1 2.5365 89.1245 37.6645 25.8144 0.000585406 0.0999702 -0.0504286 0.001496 164 30. 0.04593 0.046126 17.8317 25.8144 1 2458207.7871412 467120155 -153.15245320405 153.507187 -1.109814 1.058203 -633.49266743687 260.465393 -2.448538 1.050268 2.197512566769 19.5649997711182 0.112999998033047 4.60599994659424 0.488000005483627 2458202.755590 2458464.966713 0
 3 467 14 4 ZTF_g 456231895515 0 2.2498 125.759 15.122 25.8775 3.57068e-05 0.0419503 -0.0294731 7.58509e-05 341 30. 0.046069 0.051092 18.9856 25.8775 1 2458210.7318981 467120155 90.79162168211 67.621124 1.493545 1.012787 163.10894089859 113.113419 1.451707 1.081039 2.197512566769 19.5649997711182 0.112999998033047 4.60599994659424 0.488000005483627 2458202.755590 2458464.966713 0
 4 467 14 4 ZTF_g 456256665515 0 2.1103 136.957 14.3242 25.973 3.12775e-05 0.0412601 -0.0317098 6.35439e-05 368 30. 0.045263 0.050421 19.329 25.973 1 2458210.7566667 467120155 -60.13434533118 66.169022 -1.010934 0.934073 -19.20870029832 115.247849 -0.167796 1.075004 2.197512566769 19.5649997711182 0.112999998033047 4.60599994659424 0.488000005483627 2458202.755590 2458464.966713 0
 5 467 14 4 ZTF_r 460182035515 32 1.9836 31.9787 12.2662 23.6429 0.000292695 0.0787269 0.0757393 0.00055325 176 30. 0.054178 0.051857 17.0801 23.6429 1 2458214.682037 467120255 -66.23054048085 51.784531 -1.422699 1.117360 30.96456288741 94.474487 0.329963 1.058802 2.16766059889138 19.0989998817444 0.0979999974370003 5.89300012588501 0.345999985933304 2458160.768148 2458447.954861 0
 6 467 14 4 ZTF_r 460194575515 0 2.3649 81.4069 10.3369 24.633 5.18317e-05 0.0523284 0.109226 8.81311e-05 355 30. 0.059694 0.057163 18.1383 24.633 1 2458214.6945718 467120255 63.67059665108 50.365753 1.406237 1.002772 100.60673286575 83.177551 1.217688 1.077795 2.16766059889138 19.0989998817444 0.0979999974370003 5.89300012588501 0.345999985933304 2458160.768148 2458447.954861 0
 7 467 14 4 ZTF_r 463198835515 0 2.0512 253.4 8.29028 25.8766 1.39803e-05 0.0330439 0.0812007 2.05449e-05 534 30. 0.040189 0.044328 19.8783 25.8766 1 2458217.698831 467120255 0.01968294815 30.110695 0.000727 1.036192 -71.75668956725 58.045197 -1.244547 1.042169 2.16766059889138 19.0989998817444 0.0979999974370003 5.89300012588501 0.345999985933304 2458160.768148 2458447.954861 0
 8 467 14 4 ZTF_r 463215285515 0 2.1146 302.114 7.07818 26.0856 6.2194e-06 0.0221627 0.0917166 9.17293e-06 536 30. 0.045044 0.050449 20.1914 26.0856 1 2458217.7152894 467120255 7.570675855 30.529570 0.275847 0.962956 33.58255853609 56.598255 0.597346 1.046260 2.16766059889138 19.0989998817444 0.0979999974370003 5.89300012588501 0.345999985933304 2458160.768148 2458447.954861 0
