# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:12:00
#
# Requested input R.A. = 173.1571692 degrees
# Requested input Dec. = 68.3968709 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 843 8 1 ZTF_r 445254592815 0 2.1243 29.5608 11.5668 23.8592 0.000116792 0.0541081 0.0791378 0.000185813 188 30. 0.059662 0.052247 17.3031 23.8592 2 2458199.7545949 843120228 -33.19381819366 52.011311 -0.709928 0.993415 138.74559443874 100.350235 1.391925 1.032016 3.11968883611448 17.9950002670288 0.0799999982118607 7.06500005722046 0.522000014781952 2458182.871875 2458224.793137 0
 1 843 8 1 ZTF_r 445275832815 0 2.3851 214.29 7.22275 25.9975 9.9252e-06 0.0259223 0.0988701 1.394e-05 451 30. 0.057202 0.049002 19.9297 25.9975 2 2458199.7758333 843120228 -13.91776544094 35.353348 -0.437919 0.893803 -3.43361738933 62.182087 -0.055591 1.039219 3.11968883611448 17.9950002670288 0.0799999982118607 7.06500005722046 0.522000014781952 2458182.871875 2458224.793137 0
 2 843 8 1 ZTF_r 445298862815 0 2.1342 31.0853 9.52113 23.8923 0.000123159 0.0611238 0.064176 0.000193216 223 30. 0.059747 0.053295 17.564 23.8923 2 2458199.7988657 843120228 -1.78562231306 43.227264 -0.045950 0.958522 -4.42389779383 82.944229 -0.053695 1.032308 3.11968883611448 17.9950002670288 0.0799999982118607 7.06500005722046 0.522000014781952 2458182.871875 2458224.793137 0
 3 843 8 1 ZTF_r 445319522815 0 1.9577 81.0839 8.56233 24.9363 3.60905e-05 0.0484149 0.109647 5.05133e-05 435 30. 0.056638 0.041054 18.8169 24.9363 2 2458199.8195255 843120228 4.27554177365 36.208454 0.131352 0.983597 -47.62793809665 71.117668 -0.674217 1.033734 3.11968883611448 17.9950002670288 0.0799999982118607 7.06500005722046 0.522000014781952 2458182.871875 2458224.793137 0
 4 843 8 1 ZTF_g 448261062815 0 2.4985 142.453 7.49427 26.2928 1.45539e-05 0.0314436 -0.0959903 2.1257e-05 437 30. 0.05043 0.044622 20.1547 26.2928 2 2458202.7610648 843120128 10.32227829083 35.775177 0.320958 0.995136 60.97177459013 61.558617 0.997138 1.053250 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 5 843 8 1 ZTF_g 448282532815 0 2.5236 142.041 7.38718 26.2856 1.62737e-05 0.0330125 -0.0852076 2.42631e-05 426 30. 0.050982 0.044811 20.1461 26.2856 2 2458202.7825347 843120128 28.90068357711 38.978401 0.824781 0.969449 -17.39347792544 64.759155 -0.270396 1.063877 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 6 843 8 1 ZTF_g 448298322815 0 2.3811 141.428 7.30483 26.2923 1.58659e-05 0.0327786 -0.0885366 2.29014e-05 439 30. 0.053575 0.043896 20.2398 26.2923 2 2458202.7983218 843120128 -61.38966793815 32.882145 -2.076777 1.006426 -100.29629269814 57.441795 -1.757811 1.053169 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 7 843 8 1 ZTF_g 448329362815 0 2.2401 142.017 6.97323 26.2992 1.5732e-05 0.0327902 -0.092629 2.22102e-05 451 30. 0.050606 0.04261 20.3768 26.2992 2 2458202.8293634 843120128 -6.75191645325 30.249809 -0.248290 1.001148 -97.96510736548 53.895424 -1.829931 1.054693 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 8 843 8 1 ZTF_g 449351742815 0 2.9673 138.265 8.45411 26.2984 2.0735e-05 0.0365762 -0.124792 3.23832e-05 402 30. 0.060887 0.050705 19.8104 26.2984 2 2458203.8517477 843120128 18.10184510782 44.825962 0.449209 1.019481 45.54572492218 71.853722 0.638137 1.046989 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 9 843 8 1 ZTF_g 450272072815 0 3.594 141.545 10.1485 26.3171 2.86929e-05 0.0393907 -0.138016 5.08708e-05 329 30. 0.06128 0.056814 19.4527 26.3171 2 2458204.7720718 843120128 28.25839917812 63.462608 0.495318 0.967942 46.90314859564 89.691635 0.526460 1.057540 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 10 843 8 1 ZTF_g 450313272815 0 3.9247 141.309 10.0397 26.3128 3.41792e-05 0.0412748 -0.117798 6.23952e-05 309 30. 0.073121 0.064997 19.3963 26.3128 1 2458204.8132755 843120128 1.406618359 69.140724 0.022631 0.947792 29.25489758161 91.493073 0.321903 1.086986 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 11 843 8 1 ZTF_g 450332342815 8 5.2381 138.72 10.1446 26.2891 8.27049e-05 0.0526729 -0.0879013 0.000163367 213 30. 0.119252 0.070131 19.0866 26.2891 2 2458204.8323495 843120128 -16.88481952182 102.185127 -0.183808 0.881221 -37.26419847925 117.484062 -0.319321 1.294366 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 12 843 8 1 ZTF_g 450333832815 0 3.8249 139.991 10.0954 26.3101 3.65384e-05 0.0434239 -0.116264 6.64218e-05 313 30. 0.075541 0.059764 19.4033 26.3101 2 2458204.833831 843120128 -37.16526178953 65.753624 -0.628742 1.021633 4.97269362235 87.715645 0.057073 1.080989 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 13 843 8 1 ZTF_g 450354742815 0 3.3582 139.402 10.1964 26.2943 2.91068e-05 0.0413454 -0.117085 5.03308e-05 346 30. 0.070229 0.055748 19.4782 26.2943 2 2458204.8547454 843120128 -3.85296923854 61.439365 -0.069760 1.023602 -63.14103350652 89.704750 -0.708617 1.050223 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 14 843 8 1 ZTF_g 451267122815 0 2.4354 142.267 11.7026 26.2819 1.97331e-05 0.0355296 -0.0687881 3.22841e-05 385 30. 0.060377 0.050631 19.6172 26.2819 2 2458205.7671296 843120128 52.19889801516 60.786648 0.955230 0.925071 -3.15852912462 104.330322 -0.030478 1.047588 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 15 843 8 1 ZTF_g 451268172815 0 2.3313 142.041 11.6857 26.2847 2.01698e-05 0.0359793 -0.0803663 3.24171e-05 394 30. 0.057244 0.042553 19.6575 26.2847 1 2458205.7681713 843120128 -7.72669119953 55.209534 -0.155681 0.909420 -82.63865987116 97.217392 -0.855765 1.043336 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 16 843 8 1 ZTF_g 451289162815 0 2.7207 142.882 11.6565 26.2922 2.69897e-05 0.0404644 -0.0808389 4.63327e-05 362 30. 0.068661 0.047131 19.538 26.2922 2 2458205.7891667 843120128 7.74844267765 63.394196 0.135963 0.938213 -84.61872501847 100.802780 -0.845102 1.055896 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 17 843 8 1 ZTF_g 451290192815 0 2.581 141.801 11.6215 26.2913 2.35941e-05 0.0380394 -0.0768092 3.93496e-05 372 30. 0.068398 0.051512 19.5802 26.2913 1 2458205.7901968 843120128 90.6782768476 60.072350 1.679127 0.974514 79.14563757728 98.597107 0.808124 1.052841 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 18 843 8 1 ZTF_g 451332822815 0 2.3252 136.203 12.1317 26.2392 2.25266e-05 0.038102 -0.0698334 3.72254e-05 384 30. 0.061165 0.045133 19.5728 26.2392 2 2458205.8328241 843120128 23.57423148994 59.301701 0.442207 0.890724 39.35653248931 104.402946 0.379507 1.043693 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 19 843 8 1 ZTF_g 451334182815 0 2.4393 138.274 12.112 26.2521 2.6949e-05 0.041545 -0.0755832 4.41527e-05 382 30. 0.061366 0.044319 19.5366 26.2521 2 2458205.8341898 843120128 25.67154647934 60.874088 0.469110 1.005257 -43.1734841006 103.520615 -0.419861 1.047110 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 20 843 8 1 ZTF_g 451355122815 0 2.9443 101.49 14.218 25.929 4.01821e-05 0.0403784 -0.0777109 7.9725e-05 249 30. 0.070104 0.052465 18.8936 25.929 2 2458205.8551273 843120128 36.44232449905 83.050598 0.488110 1.009623 109.49994556654 125.478233 0.878538 1.066856 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
 21 843 8 1 ZTF_g 452233142815 0 2.1264 142.927 13.0332 26.3078 2.01712e-05 0.0356121 -0.0836174 3.2343e-05 384 30. 0.051887 0.041359 19.6455 26.3078 2 2458206.7331481 843120128 -8.98292626105 52.492306 -0.190361 1.088801 57.46441783964 97.108559 0.595740 1.041111 2.88287291452827 18.5020000457764 0.0740000009536743 6.98699998855591 0.263999998569489 2458202.761065 2458255.704236 0
