# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:13:12
#
# Requested input R.A. = 215.7042191 degrees
# Requested input Dec. = -13.2752004 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 324 13 2 ZTF_r 444375684915 0 2.3695 265.653 8.38151 25.3657 1.10563e-05 0.0391614 0.0889826 2.10648e-05 907 30. 0.047779 0.054598 19.1706 25.3657 1 2458198.8756829 324120249 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458198.875683 2458466.065104 57,61
 1 375 3 3 ZTF_r 444396141015 0 1.8651 338.721 6.84587 26.1575 3.1278e-06 0.022249 0.093556 5.93211e-06 967 30. 0.045451 0.043428 20.3816 26.1575 1 2458198.8961458 375120210 9.35242091045 27.429533 0.379280 1.010020 43.61334660135 52.382462 0.838202 1.034880 0.0763905200927798 17.8399995803833 0.046000000089407 3.22499990463257 0.189999997615814 2458198.896146 2458303.674271 0
 2 375 3 3 ZTF_g 449356071015 0 2.7261 313.72 9.10946 26.1853 1.06221e-05 0.0374523 -0.0677985 2.42709e-05 869 30. 0.053329 0.057045 19.6999 26.1853 1 2458203.8560764 375120110 37.5621579435 49.514126 0.843871 0.932881 72.29612444233 79.757339 0.912556 1.047237 0.128056190466824 18.7780000686646 0.0509999990463257 3.12800002098083 0.177000001072884 2458203.856076 2458336.671794 0
 3 324 13 2 ZTF_g 450343024915 8 4.7581 550.337 10.1665 26.1463 5.34299e-05 0.0484574 -0.0257396 0.000158741 444 30. 0.104737 0.091469 19.0238 26.1463 1 2458204.8430208 324120149 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.843021 2458298.688762 57,61
 4 324 13 2 ZTF_g 450365774915 0 3.8316 559.884 9.79725 26.1709 2.74606e-05 0.0435535 -0.0634073 7.59027e-05 581 30. 0.091354 0.075158 19.3011 26.1709 1 2458204.8657755 324120149 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.843021 2458298.688762 57,61
 5 375 3 3 ZTF_g 452343571015 0 2.3514 324.538 15.4077 26.2145 1.47586e-05 0.0405934 -0.0416866 3.61837e-05 764 30. 0.053902 0.052522 19.3189 26.2145 1 2458206.8435764 375120110 -24.29718765879 69.688148 -0.387839 1.006839 -168.79940529349 123.499359 -1.376009 1.034185 0.128056190466824 18.7780000686646 0.0509999990463257 3.12800002098083 0.177000001072884 2458203.856076 2458336.671794 0
 6 375 3 3 ZTF_g 452367971015 0 2.0796 329.596 15.1093 26.2407 1.25042e-05 0.0390648 -0.0424232 2.99468e-05 818 30. 0.052093 0.047954 19.4987 26.2407 1 2458206.8679745 375120110 29.63671706255 59.303116 0.555914 0.991718 -4.73959555127 111.294647 -0.042873 1.030344 0.128056190466824 18.7780000686646 0.0509999990463257 3.12800002098083 0.177000001072884 2458203.856076 2458336.671794 0
 7 324 13 2 ZTF_g 453317654915 0 2.6705 545.112 20.4472 26.1315 2.83953e-05 0.0387648 -0.0375867 8.05828e-05 479 30. 0.060373 0.058718 18.7635 26.1315 1 2458207.8176505 324120149 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.843021 2458298.688762 57,61
 8 324 13 2 ZTF_g 453362164915 0 2.2239 562.25 19.4774 26.1544 2.81026e-05 0.0456884 -0.0334899 7.57375e-05 601 30. 0.048074 0.05337 19.0234 26.1544 1 2458207.8621644 324120149 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.843021 2458298.688762 57,61
