# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:13:42
#
# Requested input R.A. = 175.544542 degrees
# Requested input Dec. = 66.948989 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 843 3 2 ZTF_r 445254590915 0 2.0507 31.8411 11.6786 23.928 0.000223326 0.0698651 0.0782437 0.000387339 173 30. 0.046994 0.043489 17.4353 23.928 2 2458199.7545949 843120209 19.05394333585 46.833366 0.452568 0.937124 76.58581413544 93.000145 0.829048 1.036991 1.20287247736874 21.5110000610352 0.136000007390976 0.945999979972839 -0.028999999165535 2458182.871875 2458224.793137 0
 1 843 3 2 ZTF_r 445275830915 0 2.3542 205.063 7.71868 25.9347 1.19563e-05 0.0275811 0.0952382 1.69488e-05 423 30. 0.051599 0.041425 19.877 25.9347 2 2458199.7758333 843120209 -21.31587231783 29.371361 -0.807298 0.975420 -58.51782408795 52.500801 -1.122115 1.038417 1.20287247736874 21.5110000610352 0.136000007390976 0.945999979972839 -0.028999999165535 2458182.871875 2458224.793137 0
 2 843 3 2 ZTF_r 445298860915 0 2.0685 28.2167 10.0301 23.7727 0.000515882 0.116601 0.0895644 0.000869025 196 30. 0.050095 0.044661 17.4373 23.7727 2 2458199.7988657 843120209 -28.27357289275 39.977928 -0.786711 0.944625 -60.82485311472 78.509399 -0.779964 1.032395 1.20287247736874 21.5110000610352 0.136000007390976 0.945999979972839 -0.028999999165535 2458182.871875 2458224.793137 0
 3 843 3 2 ZTF_r 445319520915 0 1.8925 75.4382 10.4828 24.8033 2.87091e-05 0.0402838 0.0899421 4.02245e-05 392 30. 0.047916 0.040195 18.5001 24.8033 2 2458199.8195255 843120209 -18.17836633319 33.231575 -0.608497 0.919719 63.8130057349 66.096947 0.971948 1.034935 1.20287247736874 21.5110000610352 0.136000007390976 0.945999979972839 -0.028999999165535 2458182.871875 2458224.793137 0
 4 843 3 2 ZTF_g 448261060915 0 2.7245 179.777 7.41848 26.3186 2.11395e-05 0.0356877 -0.0985079 3.18428e-05 394 30. 0.04748 0.043658 20.1155 26.3186 2 2458202.7610648 843120109 -18.58185553314 36.176296 -0.571373 0.932450 -2.02860026053 60.014423 -0.034030 1.052826 1.69571126911398 21.6219999313354 0.0979999974370003 0.540000021457672 0.00300000002607703 2458202.761065 2458249.699236 0
 5 843 3 2 ZTF_g 448282530915 0 2.7075 180.316 7.32013 26.3058 2.04915e-05 0.0351454 -0.0923822 3.13099e-05 391 30. 0.046128 0.045522 20.0893 26.3058 2 2458202.7825347 843120109 -9.26800672848 38.449585 -0.268133 0.945897 -34.03370503844 62.782253 -0.545742 1.060912 1.69571126911398 21.6219999313354 0.0979999974370003 0.540000021457672 0.00300000002607703 2458202.761065 2458249.699236 0
 6 843 3 2 ZTF_g 448298320915 0 2.472 180.863 7.23745 26.3118 1.63923e-05 0.0318545 -0.0964231 2.42768e-05 404 30. 0.041797 0.03981 20.211 26.3118 2 2458202.7983218 843120109 -38.10091785626 32.454727 -1.305907 0.981034 -2.82268604707 55.844662 -0.050886 1.049229 1.69571126911398 21.6219999313354 0.0979999974370003 0.540000021457672 0.00300000002607703 2458202.761065 2458249.699236 0
 7 843 3 2 ZTF_g 448329360915 0 2.3621 180.363 6.90514 26.3097 1.65317e-05 0.0322069 -0.0989654 2.39712e-05 415 30. 0.045717 0.042193 20.3511 26.3097 2 2458202.8293634 843120109 3.72720243657 27.789291 0.149197 0.974519 -11.56529606559 49.233654 -0.236488 1.050473 1.69571126911398 21.6219999313354 0.0979999974370003 0.540000021457672 0.00300000002607703 2458202.761065 2458249.699236 0
 8 843 3 2 ZTF_g 449351740915 0 2.8831 178.617 8.3178 26.31 2.35748e-05 0.0372258 -0.115294 3.81589e-05 375 30. 0.053896 0.051757 19.8604 26.31 2 2458203.8517477 843120109 12.06213404119 39.883606 0.336422 1.085621 26.66439079387 62.566368 0.429048 1.049382 1.69571126911398 21.6219999313354 0.0979999974370003 0.540000021457672 0.00300000002607703 2458202.761065 2458249.699236 0
