# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:17:44
#
# Requested input R.A. = 168.7361025 degrees
# Requested input Dec. = 33.8247544 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 669 9 4 ZTF_g 448275683515 0 2.4517 93.8265 7.24315 26.3031 3.51719e-05 0.0325736 -0.0387573 5.08808e-05 196 30. 0.062743 0.059659 20.2734 26.3031 1 2458202.7756829 669120135 -10.89369238987 43.032021 -0.281604 0.971354 -42.6754881321 67.896767 -0.632768 1.124007 1.49841918341206 18.6809999465942 0.122000001370907 8.07800006866455 0.893999993801117 2458166.800776 2458250.695845 0
 1 670 12 3 ZTF_g 448331404615 0 2.7692 97.3125 7.36554 26.2838 3.1823e-05 0.0315555 -0.026961 4.6382e-05 191 30. 0.060122 0.061294 20.3964 26.2838 1 2458202.8314005 670120146 -16.56378025439 41.006901 -0.449322 0.913227 18.00331364677 65.397659 0.277144 1.129699 1.2537993907207 18.8579999923706 0.140000000596046 7.31899976730347 0.65200001001358 2458166.839294 2458272.692060 0
 2 669 9 4 ZTF_g 451262083515 0 2.3851 96.3463 14.3261 26.3359 6.27787e-05 0.0413637 -0.0669607 0.000105517 163 30. 0.070357 0.05578 19.4709 26.3359 1 2458205.7620833 669120135 165.34262124955 76.542801 2.402898 0.975840 143.87871656588 125.788597 1.151517 1.083855 1.49841918341206 18.6809999465942 0.122000001370907 8.07800006866455 0.893999993801117 2458166.800776 2458250.695845 0
 3 669 9 4 ZTF_g 451271973515 0 2.2988 95.6303 14.2266 26.3243 4.02341e-05 0.0332612 -0.0478357 6.63691e-05 165 30. 0.062642 0.054204 19.4928 26.3243 1 2458205.7719792 669120135 -55.19060724726 74.220169 -0.827176 0.976488 -171.4094971745 123.818024 -1.393690 1.089407 1.49841918341206 18.6809999465942 0.122000001370907 8.07800006866455 0.893999993801117 2458166.800776 2458250.695845 0
 4 670 12 3 ZTF_g 451281584615 0 2.4116 96.818 13.7174 26.3091 5.6584e-05 0.0378941 -0.0279162 9.58117e-05 147 30. 0.066386 0.05139 19.4904 26.3091 1 2458205.7815856 670120146 35.80116201462 77.798653 0.511894 0.959089 -14.54949332535 123.613785 -0.118494 1.106263 1.2537993907207 18.8579999923706 0.140000000596046 7.31899976730347 0.65200001001358 2458166.839294 2458272.692060 0
 5 670 12 3 ZTF_g 451309454615 0 2.236 96.1202 14.0995 26.3086 5.98102e-05 0.0412963 -0.056036 0.000102613 162 30. 0.059094 0.054588 19.5126 26.3086 1 2458205.809456 670120146 65.46364625428 76.572632 0.951002 0.908603 105.79716202672 126.888893 0.839393 1.087342 1.2537993907207 18.8579999923706 0.140000000596046 7.31899976730347 0.65200001001358 2458166.839294 2458272.692060 0
 6 1712 4 4 ZTF_g 452281581515 0 1.7427 99.4917 16.3669 26.283 3.8673e-05 0.033425 -0.0389773 6.47982e-05 168 30. 0.056314 0.048368 19.6594 26.283 2 2458206.7815856 1712120115 79.22891222236 57.764221 1.525737 1.013718 -39.55744234984 112.844963 -0.352908 1.036317 2.06730648805203 18.6850001335144 0.109999999403954 8.70499992370605 0.734000027179718 2458166.839780 2458601.748495 0
 7 670 12 3 ZTF_g 454281424615 33554433 2.1254 64.2664 27.8481 25.8856 0.000372484 0.0617262 -0.0332409 0.000767645 66 30. 0.063429 0.057896 18.3847 25.8856 1 2458208.7814236 670120146 -2.3548339356 151.983124 -0.017235 0.940775 128.35988479076 246.860931 0.523470 1.118131 1.2537993907207 18.8579999923706 0.140000000596046 7.31899976730347 0.65200001001358 2458166.839294 2458272.692060 0
 8 669 9 4 ZTF_g 454293773515 0 2.1299 84.3292 25.1218 26.1195 7.83185e-05 0.0372674 -0.0342292 0.000152455 110 30. 0.068038 0.059159 18.738 26.1195 1 2458208.7937731 669120135 -190.98439024661 124.190468 -1.710663 1.049705 -491.96515040684 208.257919 -2.378198 1.113546 1.49841918341206 18.6809999465942 0.122000001370907 8.07800006866455 0.893999993801117 2458166.800776 2458250.695845 0
