# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:20:53
#
# Requested input R.A. = 207.144875 degrees
# Requested input Dec. = 24.893439 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 628 8 3 ZTF_g 448354093015 0 4.1918 106.602 6.14213 26.2492 2.80962e-05 0.0355961 -0.0157287 4.82412e-05 256 30. 0.075652 0.072417 20.2667 26.2492 1 2458202.8540972 628120130 -23.49034230645 34.370804 -0.760247 0.999446 -46.11840588296 51.362835 -0.903942 1.140023 0.439944932174354 20.3960000991821 0.10700000077486 4.30900001525879 0.273000001907349 2458167.059178 2458336.675463 0
 1 628 8 3 ZTF_g 448356973015 0 11.9736 107.472 6.04755 26.2476 2.67733e-05 0.034831 -0.0186026 4.62369e-05 257 30. 0.07837 0.065264 20.2294 26.2476 1 2458202.8569792 628120130 4.32000662779 36.938984 0.130093 0.908569 4.95411872535 53.226669 0.093703 1.159191 0.439944932174354 20.3960000991821 0.10700000077486 4.30900001525879 0.273000001907349 2458167.059178 2458336.675463 0
 2 627 5 4 ZTF_g 448373481915 0 3.0278 80.9354 5.61796 26.247 3.23148e-05 0.037698 -0.0266425 5.27107e-05 260 30. 0.069127 0.064986 20.3498 26.247 1 2458202.8734838 627120119 -5.2607095121 33.008961 -0.177283 0.892441 28.97343028008 48.943890 0.595959 1.139901 0.751505759326999 20.4430000305176 0.0970000028610229 4.35799980163574 0.296999990940094 2458166.916574 2458274.755579 0
 3 627 5 4 ZTF_g 451304141915 0 2.7152 79.5924 11.8087 26.2549 3.73108e-05 0.0392092 -0.0612586 6.9888e-05 225 30. 0.066237 0.057563 19.5002 26.2549 1 2458205.8041435 627120119 41.88956938718 60.262196 0.773243 1.025439 82.89472525606 94.735077 0.880909 1.079569 0.751505759326999 20.4430000305176 0.0970000028610229 4.35799980163574 0.296999990940094 2458166.916574 2458274.755579 0
 4 628 8 3 ZTF_g 451341723015 0 2.763 90.5288 11.9303 26.1122 4.3558e-05 0.0392447 -0.0232026 9.15306e-05 192 30. 0.084396 0.068359 19.3387 26.1122 1 2458205.8417245 628120130 5.48704768385 71.903732 0.084887 0.959887 18.06481542873 108.446815 0.167700 1.111615 0.439944932174354 20.3960000991821 0.10700000077486 4.30900001525879 0.273000001907349 2458167.059178 2458336.675463 0
 5 627 5 4 ZTF_g 451346131915 0 2.5703 48.5686 14.3273 25.7642 9.40082e-05 0.0509787 -0.0397878 0.000200792 142 30. 0.071597 0.057398 18.8404 25.7642 1 2458205.8461343 627120119 13.08541900661 77.794434 0.187109 0.914375 -50.81339684868 124.589531 -0.410593 1.080580 0.751505759326999 20.4430000305176 0.0970000028610229 4.35799980163574 0.296999990940094 2458166.916574 2458274.755579 0
 6 628 8 3 ZTF_g 451364543015 0 3.2185 85.4142 12.1191 26.0701 8.39865e-05 0.049645 -0.0651874 0.000199995 163 30. 0.088392 0.071245 19.2031 26.0701 1 2458205.8645486 628120130 69.86942450874 74.901787 1.037647 1.049719 28.58414712453 107.637413 0.267348 1.132902 0.439944932174354 20.3960000991821 0.10700000077486 4.30900001525879 0.273000001907349 2458167.059178 2458336.675463 0
 7 627 5 4 ZTF_g 454339461915 0 2.2588 72.395 24.8122 26.1814 7.91266e-05 0.0438797 -0.0444265 0.000173118 123 30. 0.056595 0.061044 18.7905 26.1814 1 2458208.8394676 627120119 -49.2493612637 123.927567 -0.442066 1.002021 84.99111793078 208.760559 0.409864 1.086923 0.751505759326999 20.4430000305176 0.0970000028610229 4.35799980163574 0.296999990940094 2458166.916574 2458274.755579 0
 8 628 8 3 ZTF_g 454359963015 33554433 2.3603 78.8579 34.416 25.8645 0.00029934 0.0429883 -0.00178433 0.000841593 58 30. 0.083176 0.068825 18.1538 25.8645 1 2458208.8599653 628120130 -7.79488436682 192.018860 -0.045157 0.894766 207.78798993274 310.195435 0.674373 1.137842 0.439944932174354 20.3960000991821 0.10700000077486 4.30900001525879 0.273000001907349 2458167.059178 2458336.675463 0
