# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:17:49
#
# Requested input R.A. = 296.448208 degrees
# Requested input Dec. = 48.375311 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 766 9 3 ZTF_r 443433323415 0 4.4496 204.797 8.78934 26.0266 2.6629e-06 0.0181422 0.0631172 9.49867e-06 1969 30. 0.062932 0.070111 19.5031 26.0266 2 2458197.9333218 766120234 30.23442333718 47.390572 0.709683 1.007628 50.46452750379 69.403587 0.732014 1.058908 null null null null null 2458187.030729 2458242.978241 57
 1 766 9 3 ZTF_r 443443703415 0 4.6536 192.559 8.73317 25.9607 4.0256e-06 0.0222362 0.0619224 1.43345e-05 1958 30. 0.064661 0.068996 19.4624 25.9607 2 2458197.9437037 766120234 17.54911430229 43.103119 0.452899 1.089371 1.44916578506 64.364655 0.022667 1.049947 null null null null null 2458187.030729 2458242.978241 57
 2 766 9 3 ZTF_r 443469433415 0 3.4002 256.498 8.14696 26.245 4.2495e-06 0.022771 0.0652993 1.51563e-05 1958 30. 0.055295 0.054291 19.9791 26.245 2 2458197.9694329 766120234 -10.05341254529 37.277676 -0.299999 1.020989 -7.07162917067 59.279221 -0.120097 1.047193 null null null null null 2458187.030729 2458242.978241 57
 3 766 9 3 ZTF_r 443487313415 0 2.5749 94.9422 9.85191 25.1685 6.7137e-06 0.0286213 0.0584911 2.38893e-05 1947 30. 0.04786 0.050215 18.7187 25.1685 2 2458197.9873148 766120234 29.10906122723 45.175652 0.716768 0.961750 131.30127138283 78.010544 1.694458 1.040019 null null null null null 2458187.030729 2458242.978241 57
 4 766 9 3 ZTF_g 450430653415 8 5.1516 105.49 11.678 26.2569 6.8524e-06 0.0294677 -0.120491 2.44589e-05 2002 30. 0.103417 0.094961 19.0667 26.2569 2 2458204.9306597 766120134 55.86776359152 77.111717 0.805927 0.965211 77.24873730972 94.614899 0.821953 1.136991 null null null null null 2458205.015312 2458234.967940 57
 5 766 9 3 ZTF_g 450476903415 0 3.6233 112.983 6.5099 26.309 2.459e-06 0.0177869 -0.126258 8.76381e-06 2050 30. 0.073253 0.063647 20.055 26.309 2 2458204.9769097 766120134 -20.39298611995 32.686844 -0.694005 0.958190 -25.76789375302 46.080391 -0.562961 1.058477 null null null null null 2458205.015312 2458234.967940 57
 6 766 9 3 ZTF_g 450482633415 0 3.7316 114.071 6.4001 26.3204 2.659e-06 0.0184482 -0.129248 9.45071e-06 2048 30. 0.083315 0.065727 20.0623 26.3204 2 2458204.9826389 766120134 45.22736678679 32.084843 1.568036 1.072578 80.32981606702 44.487919 1.817816 1.064659 null null null null null 2458205.015312 2458234.967940 57
 7 766 9 3 ZTF_g 450515313415 0 3.0484 118.142 6.30271 26.323 1.8686e-06 0.0154905 -0.101589 6.62595e-06 2042 30. 0.068829 0.052677 20.2563 26.323 2 2458205.0153125 766120134 2.91202363233 28.409649 0.114021 1.021095 -16.10356059289 43.676285 -0.371186 1.051371 null null null null null 2458205.015312 2458234.967940 57
 8 766 9 3 ZTF_g 450516273415 0 3.092 118.357 6.3384 26.3222 2.1313e-06 0.016508 -0.095547 7.57884e-06 2040 30. 0.069113 0.053781 20.2316 26.3222 1 2458205.0162731 766120134 17.51531482823 28.904890 0.674064 1.070758 70.4667623016 43.910103 1.615604 1.053126 null null null null null 2458205.015312 2458234.967940 57
