# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:18:09
#
# Requested input R.A. = 158.31875 degrees
# Requested input Dec. = 11.021639 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 521 6 2 ZTF_g 448272362115 0 2.4436 121.415 7.65458 26.2469 1.97621e-05 0.033399 -0.0263709 3.12624e-05 364 30. 0.050795 0.052682 20.1702 26.2469 1 2458202.7723611 521120121 -30.20889888197 39.651676 -0.847477 0.929843 6.82483534131 62.744495 0.109504 1.107181 2.46169298671594 18.4890000343323 0.068000003695488 6.9229998588562 0.305000007152557 2458166.814259 2458442.018808 0
 1 521 6 2 ZTF_g 454261462115 1 2.0754 49.0073 35.4646 25.6177 0.000673714 0.0828119 -0.0224476 0.00177927 95 30. 0.057164 0.060689 17.8835 25.6177 1 2458208.7614699 521120121 -73.14941094559 168.877396 -0.481830 0.974891 -414.80935413389 291.033234 -1.434898 1.074378 2.46169298671594 18.4890000343323 0.068000003695488 6.9229998588562 0.305000007152557 2458166.814259 2458442.018808 0
 2 521 6 2 ZTF_g 454280902115 1 2.5392 75.877 32.149 25.8277 0.000206157 0.0469806 -0.00271638 0.000549703 107 30. 0.06952 0.073686 18.029 25.8277 1 2458208.7809028 521120121 233.72100692453 183.337250 1.418084 0.855481 270.12963635725 289.951385 0.937912 1.089871 2.46169298671594 18.4890000343323 0.068000003695488 6.9229998588562 0.305000007152557 2458166.814259 2458442.018808 0
 3 521 6 2 ZTF_r 460197342115 32 2.6388 225.973 131.054 23.5276 0.00100363 0.108104 0.109571 0.00199603 89 30. 0.084397 0.070259 16.9353 26.275 1 2458214.6973495 521120221 -126.821024089 730.882812 -0.193018 0.971077 -706.27275337071 1143.140869 -0.621996 1.078135 2.6741140232636 17.9740003585815 0.0829999968409538 7.11700010299683 0.569999992847443 2458155.816817 2458186.812697 0
 4 521 6 2 ZTF_r 460218812115 33554432 2.4329 47.2683 9.37838 24.5656 9.57704e-05 0.0613773 0.138856 0.000156826 261 30. 0.06341 0.058938 18.1771 24.5656 1 2458214.7188194 521120221 62.10365418434 48.510036 1.424100 0.952697 130.57526507707 80.671829 1.629499 1.068203 2.6741140232636 17.9740003585815 0.0829999968409538 7.11700010299683 0.569999992847443 2458155.816817 2458186.812697 0
 5 521 6 2 ZTF_r 463202162115 0 1.684 224.162 10.1471 25.9278 1.25555e-05 0.0269895 0.107213 1.7684e-05 402 30. 0.045638 0.05037 20.0985 26.275 1 2458217.7021644 521120221 -2.72100599188 40.358925 -0.074997 1.001004 135.47451931788 82.720261 1.648773 1.028620 2.6741140232636 17.9740003585815 0.0829999968409538 7.11700010299683 0.569999992847443 2458155.816817 2458186.812697 0
 6 521 6 2 ZTF_r 467204872115 0 3.2507 162.879 7.41114 25.8937 1.75328e-05 0.0322744 0.133889 2.47823e-05 407 30. 0.066824 0.063063 19.605 25.8937 1 2458221.7048727 521120221 -54.267762402 46.774761 -1.290581 0.940635 -15.87850833281 68.168800 -0.234498 1.124234 2.6741140232636 17.9740003585815 0.0829999968409538 7.11700010299683 0.569999992847443 2458155.816817 2458186.812697 0
 7 521 6 2 ZTF_r 467225152115 0 7.3292 168.462 7.28635 25.9418 1.88399e-05 0.0333582 0.133416 2.67731e-05 404 30. 0.063595 0.069613 19.5916 25.9418 1 2458221.7251505 521120221 -53.66301269742 47.413109 -1.259016 0.970435 -70.71593908165 66.503265 -1.070507 1.154106 2.6741140232636 17.9740003585815 0.0829999968409538 7.11700010299683 0.569999992847443 2458155.816817 2458186.812697 0
 8 521 6 2 ZTF_r 470180402115 0 2.1652 224.147 8.45659 25.9964 9.9968e-06 0.0243077 0.114209 1.41328e-05 402 30. 0.049709 0.048055 20.151 26.275 1 2458224.6804051 521120221 -7.74186581313 37.601727 -0.229030 0.992703 -114.89530948016 69.995247 -1.652528 1.042566 2.6741140232636 17.9740003585815 0.0829999968409538 7.11700010299683 0.569999992847443 2458155.816817 2458186.812697 0
