# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:18:30
#
# Requested input R.A. = 171.450711443 degrees
# Requested input Dec. = -1.55116846125 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 420 10 2 ZTF_r 445305303715 0 2.0601 135.411 8.35462 25.2967 1.89121e-05 0.036605 0.0995695 2.90518e-05 415 30. 0.051185 0.049163 19.1533 25.2967 1 2458199.8053009 420120237 51.08331220396 35.767288 1.588722 1.008303 74.73386114538 65.593384 1.147024 1.048940 1.21883963264248 18.0879997253418 0.096000000834465 7.06400012969971 0.691999971866608 2458165.866620 2458447.998785 0
 1 420 10 2 ZTF_r 445313513715 0 2.0776 117.525 8.61531 25.1499 1.99689e-05 0.0366708 0.114676 3.07721e-05 401 30. 0.053332 0.048672 18.9446 25.1499 1 2458199.8135185 420120237 80.10391118731 38.820621 2.295335 1.007802 71.68179995311 71.864372 1.004177 1.039448 1.21883963264248 18.0879997253418 0.096000000834465 7.06400012969971 0.691999971866608 2458165.866620 2458447.998785 0
 2 420 10 2 ZTF_g 450294623715 0 3.5205 195.689 11.1471 26.2153 4.29241e-05 0.0420686 -0.0488672 9.83373e-05 248 30. 0.074874 0.063849 19.2944 26.2153 1 2458204.7946296 420120137 -28.1951872036 76.031784 -0.412510 0.943698 -95.46512290466 102.828201 -0.934647 1.105127 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
 3 420 10 2 ZTF_g 450318403715 0 4.3132 195.748 11.1808 26.2173 7.13784e-05 0.047453 -0.0414837 0.000178899 209 30. 0.087058 0.069067 19.1013 26.2173 1 2458204.8184028 420120137 47.81892559352 86.846260 0.612496 0.943076 7.02335331136 106.319679 0.066504 1.179906 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
 4 420 10 2 ZTF_g 456284253715 0 2.262 87.2649 21.9173 25.341 0.000131783 0.0483909 -0.0217281 0.000362912 125 30. 0.0648 0.064567 18.0671 25.341 1 2458210.7842593 420120137 35.03440892634 103.073769 0.378095 0.997141 -212.60006334147 172.544464 -1.240445 1.079721 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
 5 420 10 2 ZTF_g 456305233715 0 3.2034 165.969 16.7526 26.014 4.45656e-05 0.0377095 -0.020649 0.000114426 202 30. 0.070616 0.063629 18.9196 26.014 1 2458210.8052315 420120137 -30.47498860815 92.479897 -0.366565 0.993516 -42.74261701521 135.714127 -0.317067 1.107473 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
 6 420 10 2 ZTF_r 460241043715 0 2.5179 160.5 8.38542 25.4671 2.18502e-05 0.0385704 0.122054 3.39354e-05 403 30. 0.059185 0.055582 19.238 25.4671 1 2458214.7410417 420120237 13.72436552999 43.351139 0.352165 0.962034 15.16967735026 70.613129 0.216275 1.076226 1.21883963264248 18.0879997253418 0.096000000834465 7.06400012969971 0.691999971866608 2458165.866620 2458447.998785 0
 7 420 10 2 ZTF_r 463244233715 0 1.9341 274.124 6.90895 26.0528 7.0151e-06 0.0221352 0.112021 1.07864e-05 413 30. 0.054279 0.049812 20.2381 26.0528 1 2458217.7442361 420120237 51.05371811156 28.864632 1.967506 0.927686 90.58764102574 53.374668 1.708634 1.049443 1.21883963264248 18.0879997253418 0.096000000834465 7.06400012969971 0.691999971866608 2458165.866620 2458447.998785 0
 8 420 10 2 ZTF_r 463259313715 0 1.9491 302.565 6.51583 26.1488 7.1705e-06 0.0223964 0.11259 1.10324e-05 413 30. 0.053055 0.049204 20.3574 26.1488 1 2458217.7593171 420120237 39.1879991267 27.252115 1.599586 1.067850 -32.61783401127 49.813946 -0.659203 1.050915 1.21883963264248 18.0879997253418 0.096000000834465 7.06400012969971 0.691999971866608 2458165.866620 2458447.998785 0
 9 420 10 2 ZTF_r 470194623715 0 1.931 165.884 7.32076 25.5154 1.05969e-05 0.0272732 0.109354 1.64006e-05 413 30. 0.053437 0.048003 19.6785 25.5154 1 2458224.6946296 420120237 -41.64971070663 29.875475 -1.550786 0.898346 27.75164408043 55.842640 0.500309 1.051177 1.21883963264248 18.0879997253418 0.096000000834465 7.06400012969971 0.691999971866608 2458165.866620 2458447.998785 0
 10 420 10 2 ZTF_r 470220923715 0 2.1315 272.12 6.35065 26.0601 8.0052e-06 0.0237195 0.11535 1.22761e-05 416 30. 0.051741 0.049986 20.2048 26.0601 1 2458224.7209259 420120237 30.02177917544 28.594784 1.167897 0.991989 -29.55812035876 49.429062 -0.602018 1.068842 1.21883963264248 18.0879997253418 0.096000000834465 7.06400012969971 0.691999971866608 2458165.866620 2458447.998785 0
 11 420 10 2 ZTF_g 475160983715 0 3.603 185.169 6.00716 26.2081 2.58713e-05 0.0406154 -0.135778 4.65528e-05 369 30. 0.064539 0.063804 19.9522 26.2081 1 2458229.6609838 420120137 126.94431422862 38.349026 3.682254 0.892926 226.58850736614 56.418121 4.043286 1.057635 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
 12 420 10 2 ZTF_g 478168253715 0 2.5324 105.968 14.7133 25.5605 0.000104739 0.0564207 -0.0970862 0.000261976 202 30. 0.056709 0.053723 18.585 25.5605 1 2458232.6682523 420120137 -64.5450751124 72.544083 -0.989728 1.058825 -182.26820217159 124.881889 -1.469355 1.043635 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
 13 420 10 2 ZTF_g 482168403715 0 2.4042 187.997 20.1245 26.1759 4.87353e-05 0.0425908 -0.0452338 0.000118472 232 30. 0.054778 0.049328 18.9407 26.1759 1 2458236.6684028 420120137 -154.72440203472 98.896477 -1.740335 1.062403 -279.49451138513 165.579712 -1.699344 1.070004 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
 14 420 10 2 ZTF_g 482189873715 0 2.4216 187.84 19.8627 26.1789 4.29351e-05 0.039469 -0.0429001 0.000105292 230 30. 0.054103 0.047051 18.9776 26.1789 1 2458236.6898727 420120137 -146.83838728106 104.441422 -1.563946 0.956325 -16.97092583806 172.693970 -0.098934 1.079518 1.22386991611161 18.7370001792908 0.0810000002384186 5.24700021743774 0.223000004887581 2458204.794630 2458473.022025 0
