#sn_name peak_mjd peak_mag filt
2018alc 58211.15070667547 17.797043265857383 ZTF_g
2018cew 58271.666902536286 18.502973286053166 ZTF_g
2018jgs 58467.12003339154 12.799030869485577 ZTF_g
2019bhh 58541.06661015023 1.5766460128128528 ZTF_g
2019buy 58585.241559109236 18.48554068671366 ZTF_g
2019dxr 58598.351233781366 19.084131788265076 ZTF_g
2019iga 58666.800868736645 19.43409313028196 ZTF_g
2019oys 58723.5951883246 19.108624556748644 ZTF_g
2019pfb 58735.10103390945 18.188237587675438 ZTF_g
2019tls None None ZTF_g
2019tsf 58876.38043980021 18.280165744986167 ZTF_g
2019uff 58801.891953098 18.340644109030254 ZTF_g
2019vsi 58834.89129110579 17.656947629478235 ZTF_g
2019yxp 58860.68474313762 15.288500956957941 ZTF_g
2020aaxs 59178.50773150008 17.046889573723426 ZTF_g
2020avf None None ZTF_g
2020bmj None None ZTF_g
2020bpf 58895.97293857024 18.165076538531547 ZTF_g
2020hqz None None ZTF_g
2020hvp 58974.23407623396 15.631663351732568 ZTF_g
2020kxg 59003.66945930817 18.274270349814437 ZTF_g
2020ltq 59040.0 18.75 ZTF_g
2020nac 59018.55775343212 17.971825497107183 ZTF_g
2021aghx None None ZTF_g
2021hrj 59338.02917811804 18.3610817319285 ZTF_g
2021kxr 59346.093159886565 19.154120626869833 ZTF_g
2021lax 59346.61041376669 19.075187854715622 ZTF_g
2021lvb 59359.84443603409 18.79819997309612 ZTF_g
2021rfs None None ZTF_g
2021vnw 59462.37506392414 20.514628124718307 ZTF_g
2021zju 59500.94821552472 17.704017323212273 ZTF_g
2022ara 59630.86855180401 18.760655627159057 ZTF_g
2022bn 59628.588956074214 19.562420130457014 ZTF_g
2022jkx None None ZTF_g
2022oxj 59792.13815960409 18.986801376255244 ZTF_g
2022rbo 59852.10681984251 21.006190397878527 ZTF_g
2023aaeg 60304.93152637552 19.421151797755577 ZTF_g
2023qnh 60190.61213367928 18.784468691363 ZTF_g
2023rti 60201.532997757364 17.825050659440457 ZTF_g
2023uvr 60231.54259108963 18.67109849466384 ZTF_g
2023ysu None None ZTF_g
2023zms None None ZTF_g
2024rbc 60537.304654935724 17.396462949372363 ZTF_g
2024vrr 60597.56302396622 18.78910727007872 ZTF_g
2024zbl 60628.499521141486 19.42182290773956 ZTF_g
2024zzy None None ZTF_g
2019yxp 58860.92142550296 17.15156097651663 ZTF_g
2021lvb 59354.04800156004 18.574317599716995 ZTF_g
2021zju 59493.59644337567 17.40192691385283 ZTF_g
2023ysu 60289.42283178722 18.842306169411167 ZTF_g
2023zms 60290.5191434999 17.351704378873258 ZTF_g
2018jgs 58463.677929003126 18.916477367432307 ZTF_r
2019tls 58801.74981791373 17.395332152735158 ZTF_r
2020avf 58876.33885367786 18.58444154214087 ZTF_r
2020bmj 58888.78904295733 18.726886220374144 ZTF_r
2021vnw 59442.471555125565 17.88302883828567 ZTF_r
2022jkx 59723.54729297113 17.879859996642917 ZTF_r
2022rbo 59804.5258866876 18.279520619839918 ZTF_r
2024zzy 60624.468309989985 17.89279525549915 ZTF_r
2019bhh 58556.9523927821 18.570311229797635 ZTF_r
2020hqz 58967.9172412345 18.00669442527176 ZTF_r
2021rfs 59400.387275558045 18.494330547601567 ZTF_r
2022ara 59675.071298089955 18.520626364420735 ZTF_r
2024vrr 60590.60316687943 17.762366497246045 ZTF_r
