#sn_name peak_mjd peak_mag filt
2016gkm None None ZTF_g
2018avy 58227.44562870109 19.07254418359349 ZTF_g
2018beh 58243.776599729346 18.097491027691934 ZTF_g
2018hjx 58422.683564145045 19.002698806455705 ZTF_g
2018hnw None None ZTF_g
2018iqx None None ZTF_g
2019fxo 58638.18921915098 17.811732205890408 ZTF_g
2019mbz 58818.79863329609 19.203917229834477 ZTF_g
2019oyj 58680.22069529567 18.899006602621668 ZTF_g
2020aers 59220.388637035976 18.80247584422856 ZTF_g
2021ttw 59427.05129054624 18.558462332549652 ZTF_g
2022S None None ZTF_g
2022qdg 59808.650213349334 18.870610298918326 ZTF_g
2023usf 60232.63966904433 17.14829196068953 ZTF_g
2018iqx 58440.72346540898 17.681390507014058 ZTF_g
2022qdg 59803.71879731454 18.663540773356036 ZTF_g
2018avy 58225.156007433274 18.14705022044264 ZTF_r
