#sn_name peak_mjd peak_mag filt
2016dqt 58710.80179859258 21.256291798267046 ZTF_g
2018bcc 58231.12935593881 17.692158506600403 ZTF_g
2018gjx 58380.365389704544 16.089154941104354 ZTF_g
2019deh 58590.493248658815 17.70229103278689 ZTF_g
2019hgp 58653.26105013176 18.897519064862998 ZTF_g
2020bqj 58925.0 17.98 ZTF_g
2023lya 60128.54010818868 17.30493726861018 ZTF_g
2019deh 58586.66662784133 17.425507996476174 ZTF_g
2020bqj 58895.606892068674 17.963870337060442 ZTF_g
2018gjx 58380.321465977366 15.997508146660403 ZTF_g
2019hgp 58650.65502467763 18.73050870923479 ZTF_g
2023lya 60127.33215642258 17.2354215294678 ZTF_g
