# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-02 at 14:21:58
#
# Requested input R.A. = 171.8567327 degrees
# Requested input Dec. = 19.3978815 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.08204413 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 574 11 3 ZTF_g 448290134215 0 2.5724 142.076 7.55976 26.3253 2.82517e-05 0.0360475 -0.00884137 4.75564e-05 286 30. 0.067111 0.05878 20.2113 26.3253 1 2458202.7901389 574120142 -58.41989537199 43.445232 -1.495800 0.954376 -88.79091209844 66.871437 -1.336728 1.113151 0.02768868053651 20.8110000610352 0.0839999988675117 2.46199989318848 0.151999995112419 2458166.837315 2458444.040197 0
 1 574 11 3 ZTF_g 451260084215 0 2.8208 142.198 15.9705 26.3649 5.39748e-05 0.0422932 -0.0480909 0.000114668 202 30. 0.066511 0.059105 19.2545 26.3649 1 2458205.760081 574120142 130.64459610957 90.521500 1.605442 0.997975 221.54039866866 135.907104 1.641066 1.093121 0.02768868053651 20.8110000610352 0.0839999988675117 2.46199989318848 0.151999995112419 2458166.837315 2458444.040197 0
 2 574 11 3 ZTF_g 451281094215 0 2.58 141.198 15.7091 26.3654 3.74054e-05 0.0365115 -0.0306775 7.57865e-05 219 30. 0.064126 0.058617 19.3558 26.3654 1 2458205.7810995 574120142 -132.72579616275 79.725830 -1.851872 1.046189 -122.53892826785 127.168991 -0.970081 1.082090 0.02768868053651 20.8110000610352 0.0839999988675117 2.46199989318848 0.151999995112419 2458166.837315 2458444.040197 0
 3 574 11 3 ZTF_g 454277044215 1 2.1947 112.537 38.7099 25.943 0.000279895 0.0508136 0.0212749 0.000794935 81 30. 0.067711 0.062217 18.0854 25.943 1 2458208.7770486 574120142 -215.27662098482 199.744781 -1.198881 1.029839 -198.89564041834 331.337799 -0.604324 1.091111 0.02768868053651 20.8110000610352 0.0839999988675117 2.46199989318848 0.151999995112419 2458166.837315 2458444.040197 0
 4 574 11 3 ZTF_g 454319384215 49 2.6726 56.8237 52.0581 25.0861 0.00437729 0.0238428 0.0460366 0.0135812 7 30. 0.072707 0.067142 16.7535 25.0861 1 2458208.8193866 574120142 -796.43397803144 312.620911 -2.833913 0.893496 -617.37520646384 473.483551 -1.312682 1.122286 0.02768868053651 20.8110000610352 0.0839999988675117 2.46199989318848 0.151999995112419 2458166.837315 2458444.040197 0
 5 574 11 3 ZTF_r 461246364215 0 3.5801 223.136 48.4659 24.691 0.000460298 0.0863488 0.13665 0.000858877 114 30. 0.090809 0.074071 17.7827 26.275 1 2458215.7463657 574120242 198.04683880593 331.296204 0.664976 0.979066 540.94065655513 446.634979 1.219304 1.147545 0.216732755882524 20.4370001792908 0.0710000023245811 2.94400000572205 0.293000012636185 2458155.869803 2458186.853796 0
 6 574 11 3 ZTF_g 461262304215 0 4.2549 43.7484 6.69765 25.0544 0.000371167 0.0653067 -0.0325526 0.000994144 100 30. 0.091244 0.084915 18.5048 25.0544 1 2458215.7623032 574120142 50.30665516319 58.618099 0.954660 0.968759 14.31008574915 72.254982 0.199384 1.268453 0.02768868053651 20.8110000610352 0.0839999988675117 2.46199989318848 0.151999995112419 2458166.837315 2458444.040197 0
 7 574 11 3 ZTF_r 464273574215 0 1.9202 224.736 6.7276 26.2248 1.71597e-05 0.0287842 0.128704 2.64544e-05 311 30. 0.067939 0.059018 20.4924 26.275 1 2458218.7735764 574120242 -12.66191244167 29.635498 -0.475272 0.959842 -21.37368798171 55.429451 -0.388199 1.046435 0.216732755882524 20.4370001792908 0.0710000023245811 2.94400000572205 0.293000012636185 2458155.869803 2458186.853796 0
 8 574 11 3 ZTF_r 464300684215 0 2.3552 232.263 6.30952 26.2869 1.52455e-05 0.0272707 0.128757 2.34893e-05 313 30. 0.063774 0.058905 20.4112 26.2869 1 2458218.8006829 574120242 52.65315294998 31.162525 1.879518 1.001332 14.56878340555 52.813217 0.277713 1.070215 0.216732755882524 20.4370001792908 0.0710000023245811 2.94400000572205 0.293000012636185 2458155.869803 2458186.853796 0
