# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-02 at 14:23:56
#
# Requested input R.A. = 253.068821667 degrees
# Requested input Dec. = 23.627975 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.08204413 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 634 4 1 ZTF_r 444419641215 0 2.0535 174.768 5.82292 26.2288 1.9167e-06 0.0212613 0.0900426 3.96255e-06 1437 30. 0.039345 0.042265 20.5957 26.2288 2 2458198.9196412 634120212 -39.22609118251 24.993916 -1.745804 1.005840 -51.44027478968 46.801346 -1.106522 1.042736 3.5861329682886 22.7980000019073 0.20100000500679 0.407000005245209 -0.090999998152256 2458158.991806 2458219.003762 0
 1 634 4 1 ZTF_r 444457011215 0 1.8533 176.742 5.74893 26.2414 2.3756e-06 0.0237017 0.0878735 4.90932e-06 1441 30. 0.035875 0.053937 20.6689 26.2414 2 2458198.9570139 634120212 23.89022573773 23.785816 1.117267 1.023860 1.06696492981 45.315990 0.023704 1.041522 3.5861329682886 22.7980000019073 0.20100000500679 0.407000005245209 -0.090999998152256 2458158.991806 2458219.003762 0
 2 634 4 1 ZTF_r 444461301215 0 1.6519 176.021 5.79492 26.2371 2.5654e-06 0.0246137 0.0889111 5.30149e-06 1442 30. 0.041253 0.050088 20.7241 26.2371 2 2458198.9613079 634120212 37.8304016018 22.380346 1.880308 0.995394 48.72336632451 42.826878 1.145344 1.042462 3.5861329682886 22.7980000019073 0.20100000500679 0.407000005245209 -0.090999998152256 2458158.991806 2458219.003762 0
 3 634 4 1 ZTF_r 444497151215 0 1.7964 175.549 5.47815 26.2455 2.4163e-06 0.0238789 0.0903974 4.98905e-06 1444 30. 0.038106 0.058433 20.7734 26.2455 2 2458198.9971528 634120212 7.60931448457 23.320408 0.362965 0.895442 41.70299592308 44.841572 0.936271 1.044545 3.5861329682886 22.7980000019073 0.20100000500679 0.407000005245209 -0.090999998152256 2458158.991806 2458219.003762 0
 4 634 4 1 ZTF_r 444498091215 0 1.4124 176.628 5.43931 26.2387 3.4265e-06 0.0284219 0.0944081 7.10626e-06 1443 30. 0.061212 0.063578 20.8439 26.2387 1 2458198.9980903 634120212 11.78357380317 24.161024 0.542521 0.899230 36.1007692421 46.893078 0.775038 1.040863 3.5861329682886 22.7980000019073 0.20100000500679 0.407000005245209 -0.090999998152256 2458158.991806 2458219.003762 0
 5 634 4 1 ZTF_r 444501871215 0 1.2977 175.875 5.47684 26.2369 3.2812e-06 0.0278123 0.0865428 6.78872e-06 1442 30. 0.068793 0.064803 20.8616 26.2369 1 2458199.001875 634120212 35.19554480399 20.565041 1.903763 1.043544 93.3106573541 40.372135 2.326830 1.037756 3.5861329682886 22.7980000019073 0.20100000500679 0.407000005245209 -0.090999998152256 2458158.991806 2458219.003762 0
 6 634 4 1 ZTF_r 444523691215 0 1.4005 174.483 5.7135 26.2315 3.4235e-06 0.0284093 0.0855747 7.07851e-06 1448 30. 0.06384 0.068045 20.7941 26.2315 2 2458199.0236921 634120212 14.98297656922 22.548271 0.739162 0.984828 25.08624767855 43.858566 0.575833 1.041460 3.5861329682886 22.7980000019073 0.20100000500679 0.407000005245209 -0.090999998152256 2458158.991806 2458219.003762 0
 7 634 4 1 ZTF_g 449398831215 0 2.5045 97.8872 8.28623 26.2412 5.4024e-06 0.0343605 -0.0339953 1.21362e-05 1366 30. 0.045529 0.051408 20.08 26.2412 2 2458203.898831 634120112 -3.20553913527 36.352352 -0.098090 1.027724 -51.57693139955 59.057400 -0.879218 1.072639 2.98615659638333 22.3510000228882 0.187999993562698 0.705999970436096 -0.0209999997168779 2458203.898831 2458206.025810 0
 8 634 4 1 ZTF_g 449495061215 0 2.5942 103.021 4.11716 26.2911 3.1591e-06 0.0274993 -0.028911 6.53405e-06 1447 30. 0.049338 0.051676 20.8877 26.2911 2 2458203.9950694 634120112 41.45270772392 22.421257 2.056590 0.984683 45.75570568963 34.899025 1.319919 1.094733 2.98615659638333 22.3510000228882 0.187999993562698 0.705999970436096 -0.0209999997168779 2458203.898831 2458206.025810 0
