# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-02 at 14:24:38
#
# Requested input R.A. = 336.02075015 degrees
# Requested input Dec. = 0.19882575 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.08204413 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 443 13 3 ZTF_r 502488315015 0 2.5274 166.477 10.5867 26.179 5.9526e-06 0.0267976 0.0975114 9.23307e-06 766 30. 0.054329 0.052364 19.5938 26.179 1 2458256.9883102 443120250 27.82373639548 53.373859 0.579885 1.005888 77.80632293843 91.025810 0.860529 1.045977 0.234733090949861 21.3899997711182 0.0719999969005585 0.522000014781952 0.0489999987185001 2458279.921898 2458377.796771 0
 1 443 13 3 ZTF_g 509480235015 0 2.885 97.7427 8.79102 26.2264 1.70124e-05 0.0409513 -0.00746572 3.32112e-05 647 30. 0.061147 0.062764 19.7931 26.2264 1 2458263.9802315 443120150 -73.35569039973 58.489799 -1.395110 0.974135 -96.48064430957 85.156097 -1.140616 1.156478 null null null null null 2458263.980232 2458368.861655 56,57
 2 443 13 3 ZTF_r 513399825015 0 2.4288 140.396 18.1661 25.9305 4.00184e-05 0.0660462 0.122489 6.23213e-05 699 30. 0.094638 0.09107 18.7974 25.9305 1 2458267.8998264 443120250 -132.83542375631 87.792053 -1.683114 0.850439 -103.05381363597 152.415100 -0.680693 1.053021 0.234733090949861 21.3899997711182 0.0719999969005585 0.522000014781952 0.0489999987185001 2458279.921898 2458377.796771 0
 3 443 13 3 ZTF_g 513482265015 0 2.3698 99.2363 17.8187 26.2321 1.88921e-05 0.0366373 -0.0160587 4.14407e-05 500 30. 0.053532 0.055605 19.1761 26.2321 1 2458267.9822685 443120150 -20.01017952279 95.077477 -0.234114 1.045080 97.53095937716 154.321686 0.636254 1.119863 null null null null null 2458263.980232 2458368.861655 56,57
 4 443 13 3 ZTF_r 516420325015 0 2.8176 151.549 14.9148 26.0685 1.26931e-05 0.0383798 0.0991161 1.99119e-05 734 30. 0.071546 0.071372 19.019 26.0685 1 2458270.9203241 443120250 -20.79014747007 85.915619 -0.269178 0.940162 -145.31704235891 134.170990 -1.090368 1.067253 0.234733090949861 21.3899997711182 0.0719999969005585 0.522000014781952 0.0489999987185001 2458279.921898 2458377.796771 0
 5 443 13 3 ZTF_g 516463195015 0 2.3644 92.2077 13.8975 26.172 1.86829e-05 0.0399188 -0.0156965 4.03197e-05 579 30. 0.05955 0.056457 19.3557 26.172 1 2458270.9631944 443120150 -33.42280293309 81.282417 -0.457405 0.976314 -32.66877889455 133.668411 -0.246048 1.096269 null null null null null 2458263.980232 2458368.861655 56,57
 6 443 13 3 ZTF_r 522476845015 0 1.7329 171.074 8.98273 26.1874 5.2095e-06 0.025096 0.110792 8.11655e-06 764 30. 0.050373 0.046018 20.123 26.1874 1 2458276.9768403 443120250 10.02328626265 41.796085 0.266765 0.940734 54.17970556579 78.260460 0.696963 1.058692 0.234733090949861 21.3899997711182 0.0719999969005585 0.522000014781952 0.0489999987185001 2458279.921898 2458377.796771 0
 7 443 13 3 ZTF_r 525421895015 0 2.9958 160.949 5.96445 26.1197 5.8609e-06 0.0266152 0.106638 9.11688e-06 768 30. 0.069042 0.064414 20.054 26.1197 1 2458279.9218981 443120250 -20.91689055346 38.490360 -0.604505 0.947429 -8.7229603601 56.443050 -0.155585 1.103025 0.234733090949861 21.3899997711182 0.0719999969005585 0.522000014781952 0.0489999987185001 2458279.921898 2458377.796771 0
 8 443 13 3 ZTF_g 525460275015 0 2.6445 99.894 4.70378 26.2571 8.323e-06 0.0315729 -0.0447948 1.32987e-05 759 30. 0.061588 0.063531 20.552 26.2571 1 2458279.9602778 443120150 27.78250693437 27.796833 1.111811 0.853563 78.84220819165 44.142853 1.798099 1.097990 null null null null null 2458263.980232 2458368.861655 56,57
