ra,dec,jd_start,jd_end,obj_name,type
354.88005,-3.14866,2458247.9578819,2458447.9578819,SN 2018cnf,SN IIn
331.779586,12.103657,2457582.7893634,2457782.7893634,SN 2016fir,SN IIn
207.68289,-2.506956,2458506.5,2458706.5,SN 2019cac,SN IIn
220.658417143,56.1361785714,2458507.6804745,2458707.6804745,SN 2019bie,SN IIn
297.1311535,2.9137498,2458542.6177431,2458742.6177431,SN 2019dnz,SN IIn
3.8569002,-14.2538507,2458623.9868519,2458823.9868519,SN 2019jys,SN IIn
200.2705832,8.1685055,2458619.7931944,2458819.7931944,SN 2019iay,SN IIn
253.2282038,20.717659,2458625.891956,2458825.891956,SN 2019krt,SN IIn
355.029833,16.484531,2458626.8777199,2458826.8777199,SN 2019alr,SN IIn
221.1238849,33.9861335,2458631.8385301,2458831.8385301,SN 2019kud,SN IIn
241.28330634545,73.584420927273,2458635.7182523,2458835.7182523,SN 2019lkr,SN IIn
224.738218719,20.0529628637,2458649.7980093,2458849.7980093,SN 2019gjs,SN IIn
308.216979167,-12.8500944444,2458691.8063657,2458891.8063657,SN 2019npx,SN IIn
45.0018115385,30.9883746154,2458707.8130324,2458907.8130324,SN 2019qym,SN IIn
341.906792,39.880619,2458381.7227083,2458581.7227083,SN 2018hqm,SN IIn
15.0028375,-3.10842222222,2458738.8971875,2458938.8971875,SN 2019tpl,SN IIn
13.743871941,44.0901367613,2458752.9653819,2458952.9653819,SN 2019mtk,SN IIn
141.582808333,-7.47501944444,2458812.9326736,2459012.9326736,SN 2020sj,SN IIn
210.4649229,-10.4109702,2458829.0039468,2459029.0039468,SN 2019wqc,SN IIn
131.824667,-20.527589,2458863.7887153,2459063.7887153,SN 2020cke,SN IIn
208.594143756,-5.3569990848,2458912.9880208,2459112.9880208,SN 2020hcr,SN IIn
225.66733072,9.30384778,2458914.9558912,2459114.9558912,SN 2020hem,SN IIn
142.058708,25.670369,2458944.7091667,2459144.7091667,SN 2020jhs,SN IIn
79.1999778527,-7.47862865916,2458803.8093403,2459003.8093403,SN 2019wrt,SN IIn
206.962800435,0.10042219089,2458866.0048148,2459066.0048148,SN 2019wma,SN IIn
267.0854429,48.2019695,2458610.6175,2458810.6175,SN 2019hgy,SN IIn
357.55949332,10.12813336,2458995.9321528,2459195.9321528,SN 2020ntt,SN IIn
349.1917384,-23.31030745,2459008.8337384,2459208.8337384,SN 2020onv,SN IIn
225.273108,50.6561806,2458536.5,2458736.5,SN 2019cht,SN IIn
339.119086621,-7.63394561379,2458737.5,2458937.5,SN 2019ssg,SN IIn
125.267958,-22.514069,2459120.9589583,2459320.9589583,SN 2020nku,SN IIn
210.2135384,-0.1857629,2459152.9741319,2459352.9741319,SN 2020abku,SN IIn
252.8873405,38.0109776,2459181.028044,2459381.028044,SN 2021bn,SN IIn
203.9496713,2.9998364,2459286.8349537,2459486.8349537,SN 2021kwc,SN IIn
345.4633718,13.9566078,2459295.960463,2459495.960463,SN 2021mz,SN IIn
213.9260323,26.6291785,2459408.6762616,2459608.6762616,SN 2021ulv,SN IIn
358.267023,-13.049341,2459434.842419,2459634.842419,SN 2021uzt,SN IIn
20.450701,75.2841191,2459381.9341319,2459581.9341319,SN 2021tie,SN IIn
206.341542,26.750181,2459361.7106713,2459561.7106713,SN 2021rll,SN IIn
177.028917,-12.644919,2459477.5,2459677.5,SN 2021adxl,SN IIn
1.4826919,22.4906444,2459808.8881713,2460008.8881713,SN 2022udq,SN IIn
145.63325760000004,7.09996312,2459809.9798611,2460009.9798611,SN 2022waq,SN IIn
85.372305,16.7621357,2459915.7925347,2460115.7925347,SN 2022aecy,SN IIn
173.1571692,68.3968709,2459927.8377199,2460127.8377199,SN 2023adz,SN IIn
232.506398,12.9875403,2459929.8852662,2460129.8852662,SN 2023awp,SN IIn
215.7042191,-13.2752004,2460007.7943403,2460207.7943403,SN 2023alo,SN IIn
175.544542,66.948989,2460009.7043403,2460209.7043403,SN 2023dej,SN IIn
121.3189658,81.7191248,2460033.6803819,2460233.6803819,SN 2023emr,SN IIn
312.499444345,-17.5370286401,2460048.8842014,2460248.8842014,SN 2023hpd,SN IIn
16.2846477,22.0841745,2460097.8914583,2460297.8914583,SN 2023jwb,SN IIn
31.5262589541,-13.4015395349,2460129.9002662,2460329.9002662,SN 2023okv,SN IIn
168.7361025,33.8247544,2460238.907338,2460438.907338,SN 2023xix,SN IIn
296.448208,48.375311,2460339.9805208,2460539.9805208,SN 2024crf,SN IIn
158.31875,11.021639,2460555.9812616,2460755.9812616,SN 2024lib,SN IIn
171.450711443,-1.55116846125,2460566.0222569,2460766.0222569,SN 2024yre,SN IIn
207.144875,24.893439,2460600.9754167,2460800.9754167,SN 2024aboy,SN IIn
352.713417,-2.94275,2460629.5882176,2460829.5882176,SN 2022mop,SN IIn
239.9169571,27.111335577778,2460689.8396296,2460889.8396296,SN 2025cbj,SN IIn
