ra,dec,jd_start,jd_end,obj_name,type
164.619302,37.576171,2459886.830625,2460086.830625,SN 2022adtr,SN IIb
54.893333,20.708444,2457562.8835185,2457762.8835185,SN 2016exv,SN IIb
354.300416471,40.7217752941,2458376.8636574,2458576.8636574,SN 2018hoa,SN IIb
357.492415,7.07326,2458380.7859028,2458580.7859028,SN 2018hhs,SN IIb
110.8109647,56.5251254,2458405.7865509,2458605.7865509,SN 2018jee,SN IIb
101.9792058,67.9167095,2458400.6888194,2458600.6888194,SN 2018iug,SN IIb
309.2302,2.8068,2458601.8756019,2458801.8756019,SN 2019gaf,SN IIb
244.625287517,18.475066159,2458676.7229282,2458876.7229282,SN 2019ofk,SN IIb
18.1578040613,33.0349355864,2458694.9162037,2458894.9162037,SN 2019pof,SN IIb
349.7354625,-10.1763972222,2458729.791875,2458929.791875,SN 2019sna,SN IIb
346.648958,0.612111,2458970.9155192,2459170.9155192,SN 2020jfv,SN IIb
86.5207556706,-23.5660262348,2459090.9046875,2459290.9046875,SN 2020tjd,SN IIb
297.4871203,59.5928266,2458301.897,2458501.897,SN 2018fzn,SN IIb
34.5461126,37.097234,2459113.708125,2459313.708125,SN 2020urc,SN IIb
46.481375,41.608711,2459169.5985417,2459369.5985417,SN 2020adnx,SN IIb
201.996417,24.381919,2459298.7465741,2459498.7465741,SN 2021kww,SN IIb
171.62222348,47.1284610812,2459303.6819213,2459503.6819213,SN 2021kum,SN IIb
126.861374,17.2871379,2459296.6946644,2459496.6946644,SN 2021lwd,SN IIb
52.262173700000005,9.2907062,2459381.9076273,2459581.9076273,SN 2021uth,SN IIb
47.7989579,-8.469532,2459488.7362037,2459688.7362037,SN 2021adlr,SN IIb
190.9224783,22.3589682,2459913.835081,2460113.835081,SN 2022acrz,SN IIb
162.2400642,-4.7543559,2459919.0195949,2460119.0195949,SN 2023wf,SN IIb
265.214042,66.206319,2459922.0180787,2460122.0180787,SN 2023aew,SN IIb
198.8414944,1.9275673,2460026.7605903,2460226.7605903,SN 2023gwl,SN IIb
268.580536,64.2256052,2460151.7686343,2460351.7686343,SN 2023psq,SN IIb
20.793617,19.570172,2460582.6537731,2460782.6537731,SN 2024zsw,SN IIb
