,Obj_ID,IAU_name,Internal_names,Obj_RA,Obj_DEC,Obj_Type,Redshift,Spec_ID,Obs_date,JD,Phase_(days),From,Telescope,Instrument,Observers,Reducers,Source_group,Public,Associated_groups,End_prop_period,Ascii_file,Fits_file,Spec_type,Spec_quality,Extinction_Corrected,WL_Medium,WL_Units,Flux_Unit_Coefficient,Spec_units,Flux_Calibrated_By,Exp_time,Aperture_(slit),HA,Airmass,Dichroic,Grism,Grating,Blaze,Lambda_min,Lambda_max,Del_Lambda,Contrib,Publish,Remarks,Created_by,Creation_date
4941,17304,2013gc,2013gc,121.7995,-28.057311,SN IIn,,62531,2013-11-17 00:00:00.00,2456613.5,--,--,SOAR,Goodman,Unknown,--,TNS,Y,TNS,--,SN2013gc_2013-11-17_00-00-00_SOAR_Goodman_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3630.3815511111,9149.1486226399,1.9162385665031,--,--,Spectrum 1 used in the reclassification of SN2013gc in Ransome et al.  2021.  [TNS source group:  0 - None ],TNS_Bot1,2021-08-16 16:05:07
4944,17304,2013gc,2013gc,121.7995,-28.057311,SN IIn,,62534,2014-05-12 00:00:00.00,2456789.5,--,--,SOAR,Goodman,Unknown,--,TNS,Y,TNS,--,SN2013gc_2014-05-12_00-00-00_SOAR_Goodman_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,4049.756121697,8908.0872652486,2.6064008280856,--,--,Spectrum 4 used in the reclassification of SN2013gc in Ransome et al.  2021.  [TNS source group:  0 - None ],TNS_Bot1,2021-08-16 16:05:07
4943,17304,2013gc,2013gc,121.7995,-28.057311,SN IIn,,62533,2014-05-11 00:00:00.00,2456788.5,--,--,SOAR,Goodman,Unknown,--,TNS,Y,TNS,--,SN2013gc_2014-05-11_00-00-00_SOAR_Goodman_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3666.5398363128,9167.4467708577,1.9160247072605,--,--,Spectrum 3 used in the reclassification of SN2013gc in Ransome et al.  2021.  [TNS source group:  0 - None ],TNS_Bot1,2021-08-16 16:05:07
4942,17304,2013gc,2013gc,121.7995,-28.057311,SN IIn,,62532,2014-05-05 00:00:00.00,2456782.5,--,--,LCO-duPont,WFCCD,Unknown,--,TNS,Y,TNS,--,SN2013gc_2014-05-05_00-00-00_LCO-duPont_WFCCD_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3769.1193249397,8800.6305673101,2.6029546002951,--,--,Spectrum 2 used in the reclassification of SN2013gc in Ransome et al.  2021.  [TNS source group:  0 - None ],TNS_Bot1,2021-08-16 16:05:07
8560,18594,2021osr,ZTF21abebgfr,323.716292,-7.448494,--,0.086047,62142,2021-06-24 02:48:36.00,2459389.6170833,--,--,NOT,ALFOSC,Jesper Sollerman,Steve Schulze,TNS,Y,TNS,--,SN2021osr_2021-06-24_02-48-36_NOT_ALFOSC_TNS.ascii,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1800,--,--,--,--,--,--,--,3502.7125763909,9588.596975344,3.2527442004025,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2021-07-28 22:05:08
8561,18594,2021osr,ZTF21abebgfr,323.716292,-7.448494,--,0.086047,61996,2021-07-08 07:34:29.00,2459403.8156134,--,--,Magellan-Baade,IMACS,Yuri Beletsky,Sebastian Gomez,TNS,Y,TNS,--,SN2021osr_2021-07-08_07-34-29_Magellan-Baade_IMACS_TNS.txt,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1800,--,--,--,--,--,--,--,4195.344109,9363.225395,1.2775973512979,--,--,[TNS source group:  99 - FLEET ],TNS_Bot1,2021-07-14 20:05:08
3429,18619,2021rhk,ZTF21abioeyq  ATLAS21baax,210.760042,8.765711,--,0.0226,61856,2021-07-02 07:09:00.00,2459397.7979167,--,--,Lick-3m,KAST,C. Rojas-Bravo  K. Taggart,K. Taggart,TNS,Y,TNS,--,SN2021rhk_2021-07-02_07-09-00_Lick-3m_KAST_TNS.flm,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,1545,--,--,--,--,--,--,--,3403.5274581091,10197.334855367,2.5265181841792,--,--,[TNS source group:  77 - UCSC ],TNS_Bot1,2021-07-02 22:05:07
3430,18619,2021rhk,ZTF21abioeyq  ATLAS21baax,210.760042,8.765711,--,0.0226,61885,2021-07-07 05:04:24.00,2459402.7113889,--,--,P60,SEDM,SEDmRobot,auto,TNS,Y,TNS,--,SN2021rhk_2021-07-07_05-04-24_P60_SEDM_TNS.,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,2160,--,--,--,--,--,--,--,3776.7,9223.3,25.451401869159,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2021-07-07 23:05:06
9605,18671,2021sjt,ZTF21abjyiiw  ATLAS21baoj,309.33,66.106433,--,,61899,2021-07-08 00:00:00.00,2459403.5,--,--,Keck1,LRIS,M. Siebert  K. Davis  E. Strasburger,M. Siebert,TNS,Y,TNS,--,SN2021sjt_2021-07-08_00-00-00_Keck1_LRIS_TNS.flm,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,3162.1829278241,10147.371729125,1.1827275315444,--,--,[TNS source group:  77 - UCSC ],TNS_Bot1,2021-07-09 08:05:10
9606,18671,2021sjt,ZTF21abjyiiw  ATLAS21baoj,309.33,66.106433,--,,62023,2021-07-17 00:17:27.00,2459412.5121181,--,--,LT,SPRAT,LTbot,Perley,TNS,Y,TNS,--,SN2021sjt_2021-07-17_00-17-27_LT_SPRAT_TNS.spec,--,Object,--,--,Air,Angstrom,1,erg cm(-2) sec(-1) Ang(-1),--,--,--,--,--,--,--,--,--,4020.0,7994.4,9.178752886836,--,--,[TNS source group:  48 - ZTF ],TNS_Bot1,2021-07-19 00:05:06
