Ascii file,error
2017gxc_2017-09-30_04-13-40_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gxc_2017-10-01_04-11-10_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16fcg_2016-09-06_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
SN2016fcg_2016-09-06_11-06-02_P60_SEDM_TNS.ascii,Flux is not positive!
2018cfw_2018-06-10_09-21-07_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gtc_2017-09-30_05-13-03_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018avz_2018-04-21_11-48-43_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018jh_2018-01-24_09-54-20_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gua_2017-09-29_06-28-46_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018cxk_2018-06-30_10-39-01.7_P60_SEDM_None.ascii,Flux is not positive!
2018cxk_2018-07-08_09-32-02.072_P60_SEDM_None.ascii,Flux is not positive!
2016cor_2016-06-01_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016ija_2016-11-23_07-32-55_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016gdm_2016-09-10_06-55-57_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016geh_2016-09-29_05-35-26_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016eyn_2016-08-17_09-39-29_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016csv_2016-07-05_07-15-11_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16ilg_2016-11-26_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
SN2016ilg_2016-11-26_06-14-43_P60_SEDM_TNS.ascii,Flux is not positive!
2018ced_2018-06-08_05-50-27_P60_P60-Cam_None.txt,Spectral unit conversion from 'Other' not implemented
2016hid_2016-10-23_05-09-59_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16gox_2457660.50_P60_SEDM_iPTF.clean,Flux is not positive!
2016esm_2016-08-11_11-17-14_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018zc_2018-03-05_10-20-18_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2016geu_2016-10-02_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
2016geu_2016-10-02_05-30-53_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016exv_2016-08-12_09-12-16_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016ek_2016-01-13_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016gmh_2016-09-29_08-35-52_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016gzy_2016-10-22_11-05-29_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018auv_2018-04-18_05-02-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hnb_2017-10-23_04-44-54_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018amo_2018-03-28_05-59-58_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fvf_2016-09-07_09-02-33_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018kq_2018-01-25_10-24-40_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16ilj_2457717.50_P60_SEDM_iPTF.clean,Flux is not positive!
iPTF16ilj_2457722.50_P60_SEDM_iPTF.clean,Flux is not positive!
iPTF16fnl_2016-08-30_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16fnl_2016-08-31_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16fnl_2016-09-02_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16fnl_2016-09-03_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16fnl_2016-09-05_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16fnl_2016-09-06_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16fnl_2016-09-07_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16fnl_2016-09-10_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
2018cew_2018-06-11_10-02-39_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hdv_2017-10-09_03-22-58_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2016bld_2016-03-16_00-00-00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
2016bld_2016-03-16_08-30-18_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018oz_2018-02-06_02-43-50_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018afm_2018-03-20_10-50-06_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hqj_2017-10-30_04-55-54_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016el_2016-01-13_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
SN2018chf_2018-06-08_05-02-47_P60_SEDM_TNS.ascii,Flux is not positive!
2016cok_2016-06-12_05-16-59_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016cvv_2016-06-21_06-28-29_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hbw_2017-10-08_12-14-38_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hdw_2017-10-09_04-47-26_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aoy_2018-04-09_11-28-52_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2018ph_2018-02-06_09-56-16_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hkk_2017-10-17_05-16-23_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hcv_2017-10-10_02-54-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hhi_2017-10-15_03-36-56_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hom_2017-10-26_07-14-20_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018ld_2018-01-29_06-36-14_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018apk_2018-04-04_06-58-45_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016glg_2016-09-24_04-08-43_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018arl_2018-04-10_04-31-37_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fbz_2016-08-26_08-56-52_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2016fzm_2016-09-15_05-14-58_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
iPTF16gzr_2016-11-06_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
SN2016gzr_2016-11-06_06-23-27_P60_SEDM_TNS.ascii,Flux is not positive!
2018cqa_2018-06-23_08-12-42_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16hfb_2016-11-06_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
9732_2015-08-20_00-00-00.00_P60_SEDM_iPTF.ascii,Spectral unit conversion from 'Other' not implemented
2017hdt_2017-10-09_07-14-34_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018kl_2018-01-25_09-25-21_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hr_2017-01-17_10-02-01_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aaz_2018-03-07_00-00-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018azu_2018-04-24_03-36-33_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018azu_2018-04-24_03-36-34_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gvw_2017-09-28_11-52-17_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16gyp_2016-10-19_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2016gyp_2016-10-19_03-36-13_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018ant_2018-03-30_06-03-45_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016gjw_2016-10-19_11-16-40_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2017hhx_2017-10-15_02-34-27_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2016cnp_2016-06-03_09-29-01_P60_SEDM_TNS.ascii,Flux is not positive!
2017hbx_2017-10-08_04-00-30_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aok_2018-04-09_09-32-06_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2022mmr_2022-06-26_09-40-13_P60_SEDM_TNS.ascii,Flux is not positive!
2017bj_2017-01-18_04-08-48_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hbi_2017-10-05_08-01-16_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018amb_2018-03-27_05-18-35_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2017hgz_2017-10-12_03-48-12_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aup_2018-04-18_03-37-08_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016evs_2016-08-12_06-48-57_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hrn_2017-11-01_06-28-56_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hho_2017-10-12_05-30-11_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hho_2017-10-14_05-22-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2018bhs_2018-05-10_04-44-20_P60_SEDM_TNS.ascii,Flux is not positive!
2016cuv_2016-06-18_06-31-46_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018amc_2018-03-27_06-01-54_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018cdy_2018-06-08_08-28-20_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016gmt_2016-10-10_10-01-54_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016csi_2016-06-03_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2017hnp_2017-10-23_06-56-19_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016gmw_2016-09-26_08-49-40_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2017gtn_2017-09-29_07-19-29_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gtn_2017-09-29_07-19-29_P60_SEDM_None_0.txt,Spectral unit conversion from 'Other' not implemented
2018anh_2018-03-29_07-43-04_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018pi_2018-02-06_11-08-06_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aqy_2018-04-08_07-24-59_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016iyf_2016-12-20_07-39-31_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016czq_2016-09-06_06-39-11_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018crv_2018-06-25_09-54-14_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018ajl_2018-04-13_08-03-20_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016fjm_2016-09-02_05-32-31_P60_P60-Cam_None.ascii,Spectral unit conversion from 'Other' not implemented
2016eqp_2016-08-08_06-11-18_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hfv_2017-10-13_09-07-11_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hfv_2017-10-15_08-57-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aik_2018-03-20_10-50-06_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017hfp_2017-10-11_03-29-06_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018aex_2018-03-09_00-00-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018avg_2018-04-18_07-28-27_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16foo_2016-09-07_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2016foo_2016-09-08_10-45-52_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018bac_2018-04-24_06-55-23_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018bac_2018-04-24_06-55-24_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016al_2016-01-12_00-00-00_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018aur_2018-04-18_06-24-43_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2016gyi_2016-10-08_10-03-21_P60_SEDM_None.ascii,Spectral unit conversion from 'Other' not implemented
2018xi_2018-02-25_06-12-53_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018kp_2018-01-27_11-11-58_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2018alc_2018-03-27_06-45-31_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
SN2018aca_2018-03-07_00-00-00_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
iPTF16gkm_2016-11-18_00-00-00.000000_P60_SEDM_iPTF.ascii,Flux is not positive!
2016ejc_2016-07-28_07-23-17_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
2017gzx_2017-10-03_03-19-22_P60_SEDM_None.txt,Spectral unit conversion from 'Other' not implemented
